startphrase,ending1,ending2,correct_label
The opera's plot has the solidity of a brass ingot,The opera's plot has many holes.,The opera's plot is integral.,1
This tree is as tall as the space needle,The tree is very tall.,The tree is not tall at all.,0
That person is as useful as a multi-tool,The person's presence has no value.,The person is quite resourceful and helpful.,1
Jane was a friend as good as The smell of stale cigarette smoke,Jane was a comforting friend.,Jane was stagnant as a friend.,1
The movie plot was as intricate as A politician's mind,The movie plot was convoluted.,The movie plot was simple.,0
The painter has the depth of the grand canyon,The painter is deeply talented.,The painter is untalented.,0
That light is as bright as the sun,The light is shiny.,The light is dim.,0
The current is morse code,The current is continuous.,The current is discrete.,1
The comedian's jokes were about as awful as a winning lotto ticket,The jokes were great.,The jokes were bad.,0
The movie was as scary as a monster,The movie was scary.,The movie was not scary.,0
He punched like a pillow,He punched hard.,He punched softly.,1
He had the air of a church leader,People were intimidated by him.,People were not intimidated by him.,1
His attention span is as long as a hair pin,He has a really good attention span.,His attention span is nonexistent.,1
The memoir has all the entertainment of watching dried paint remain dry,The memoir was very entertaining.,The memoir was boring.,1
The lion has the roar of mosquito flying down a busy street,The lion's roar is loud.,The lion's roar is bately audible.,1
The security team is effective as fighting a wildfire with a watergun,The security team is useless.,The security team is very effective.,0
The soccer player passed the ball to his teammate like a magician pulling a rabbit out of a hat,The pass was surprising.,The pass was very fast and direct.,0
This football game is like a blue starfish,This football game is full of action.,This football game is moving slowly.,1
He flew like a stone,"He moved in a light, graceful way.","He moved in a clumsy, heavy way.",1
He was as energized as a light bulb,He was very energized.,He wasn't energized at all.,0
The mall was a big as A studio apartment,The mall was expansive.,The mall was cramped.,1
He was as inconspicuous as a peacock,He was very inconspicuous.,He was highly conspicuous and noticeable.,1
The relationship between Democrats and Republicans is that over a couple married for 50 years,Democrats and Republicans do not get along.,Democrats and Republicans tolerate each other.,1
My coffee is as hot as the center of the earth,The coffee is hot.,The coffee is not hot.,0
My coffee is as hot as a warm bath,The coffee is hot.,The coffee is not hot.,1
The tap dancer was an elephant,The tap dancer was clumsy.,The tap dancer was graceful.,0
The girl treats her friends like Prada,The girl treasures her friends.,The girl treats her friends poorly.,0
The Brain is a Prism,Brain is hypersensitive and connects many things.,Brain take one input and gives multiple output.,1
The student was as ashamed as a dog that found a bone,He was proud.,He was embarrassed.,0
The chemicals had the stability of steel,The chemicals were stable.,The chemicals were highly unstable.,0
I'm as lively as a three year old before bedtime,I'm excited.,I'm tired.,0
The inflation rate these days is a pig in a pen,Inflation has gotten out of control.,Inflation is under control.,1
To defeat the dark lord would be to topple a child's blocks,Defeating the dark lord would be very difficult.,Defeating the dark lord would be very easy.,1
He was as sturdy as a brick house,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",0
The employee was as busy as a CPA during tax season,The employee was frazzled with work.,The employee had nothing to do.,0
The football player has the agility of a mountain goat,The football player is a klutz.,The football player is lithe.,1
The camel had the humps of a young girl's chest,"The camel has big, mighty humps.",The camel is flat and lacks humps.,1
George moved like a chicken with its head cut off,George was very focused.,George lacked proper focus in the way he conducted himself.,1
The cop got the suspect to confess after applying the pressure of a feather,The cop used a lot of pressure.,The cop used little pressure.,1
The office environment was as sterile as a dental hygienist's equipment,The office environment was totally dull.,The office environment was full of life.,0
The room is as clean as a dumpster,The room is spotless.,The room is filthy.,1
The teacher's grading policy was as flexible as a steel beam,The teacher's grading policy was very flexible.,The teacher's grading policy was very rigid.,1
His father was a pillar,His father was really reliable.,His father was not reliable.,0
Time is a river,You can't change the future.,You can change the future.,1
The toothbrush has the firmness of a brown banana,The toothbrush is very firm.,The toothbrush lacks firmness.,1
He has the belly of a bloated whale carcass,His belly is large.,He has a tiny belly.,0
He's as country as Texas,He's very country.,He's not very country at all.,0
The fortress had the strength of a new born baby,The fortress was very strong.,The fortress was very weak.,1
The party was as fun as paying electricity bills,The party was very boring.,The party was really fun.,0
The girl was as down-to-earth as eggs and potatoes,The girl was not down-to-earth at all.,The girl was very down-to-earth.,1
The hyperlink has the functionality of a brand new car,The hyperlink functions perfectly.,The hyperlink doesn't work.,0
That couch is as soft as a boulder,The couch is hard.,The couch is soft.,0
The tower is as tall as an anthill,The tower is very short.,The tower is extremely tall.,0
Fame is as fleeting as A mosquito life span,Fame expires quickly.,Fame lasts a long time.,0
He's felt that he was on top of a garbage pile,He was really happy.,He's was sad.,1
He's talks like a a hungover DMV employee,He talks really fast.,He talks really slowly.,1
The knife was as sharp as A door knob,The knife is dull.,The knife is sharp.,0
His drive home was a party,His drive home was nice.,His drive home was not nice.,0
The bath was as hot as the ocean,The bath was very hot.,The bath was not hot.,1
We're headed to Mordor,We're headed to danger.,We're headed to safety.,0
She's got the anger of a sleeping little lamb,She's very angry.,She's quite calm.,1
Love is a dumpster fire,Love is trash.,Love is beautiful.,0
The pants were as torn as a drunk's liver,The pants were messed up.,The pants were well put togther.,0
The racetrack was as slippery as carpet,The track was very slippery.,The track was not slippery.,1
The soldiers thought the war was as fun as a page from an adventure comic,"The war was fun, fanciful, and enjoyable.","The war was not fun, hard, and mind-numbing.",0
Ex friends calling you are as transparent as skyscraper glass windows,You can see through old friends contact attempts.,You have no idea why old friends contact you.,0
The bar is a cat's jump away,The bar is far away.,The bar is close by.,1
The TV eats the electricity of an old wristwatch,It uses a lot of power.,It draws very little power.,1
He is as loud as a teenager sneaking back into the house after curfew,He is quiet.,He is loud.,0
"To her, facts are like flagstones","To her, facts are confusing and hard to navigate in.","To her, facts are easily see and used to guide.",1
This new book is as profound as an English freshman's first essay,"The book shows psychological depth, lyrical poetry, and appeal of a classic work of literature.",The book is simplistic and amateurish.,1
The girl is as shallow as a kiddie pool,The girl is really shallow.,The girl has a lot of layers to her.,0
George ran like a snail,George ran fast.,George ran slow.,1
That tree is a tall as Push pin,It is short.,It is tall.,0
The actor has the fame of a Roman emperor,The actor is very well known.,The actor is not very well known.,0
The gambling at the casino had all the excitement of A fast-paced football game,The gambling at the casino was boring.,The gambling was exciting and entertaining.,1
Her devotion to her family was as strong as a kitten,She is strongly devoted to her family.,She is only weakly devoted to her family.,1
His new car has as much power as Chernobyl in the 70's,The car has lots of power.,The car is so low in power it's not working.,0
His new car has as much power as Chernobyl today,The car has lots of power.,The car is so low in power it's not working.,1
He floats like a fish,He floats very well.,He doesn't float at all.,0
The conversation has me sweating like a snowman in the summer,The conversation is intense.,The conversation is boring.,0
The conversation has me feeling like I just ate the whole Thanksgiving turkey,The conversation is intense.,The conversation is boring.,1
Her skin was a a carribean beach,Her skin was red and splotchy.,Her skin was pale and clean.,1
The sky is as clear as ink,The sky is dark and cloudy.,The sky is bright and clear.,0
The assignment was as clear as chocolate pudding,The assignment was hard to understand.,The assignment was easy to understand.,0
After a workout he had as much energy as A wind up toy car,He had a lot of energy.,He had very little energy.,1
Legal professions are as appealing as counting sand grains on a beach,Legal professions are tedious.,Legal professions are exciting.,0
Comedy is a rainstorm,Comedy is good.,Comedy is bad.,1
The blanker provides the warmth of an open refrigerator,The blanket provides a lot of warmth.,The blanket provides little warmth.,1
The teacher was as successful in her occupation as a lame-duck President,"The teacher was inventive, at the forefront of her occupation, and highly successful.","The teacher was unsuccessful, basically useless in getting anything accomplished.",1
The meal was like a horror movie,The meal was invigorating.,The recipient dreaded what came next while eating.,1
The bottle was thin like a brick wall,The bottle was thin.,The bottle wasn't thin.,1
She had the intelligence of a thousand monkeys sitting at desks and typing on typewriters,The things she said were noisy and random.,The things she said or did were methodical and calculating.,0
Her voice had the melody of a dying crow,Her voice was beautiful.,Her voice was ugly.,1
Life is a God's will,It is a learning experience.,It is predisposed.,1
The boy was as innocent as a rabid wold,The boy was pure.,The boy was evil.,1
The poem was as romantic as a love-letter,The poem was very sweet and romantic.,The poem wasn't romantic at all.,0
The table had the age of a toddler,The table was old.,The table was young.,1
The quarterback put forth the effort of A weak infant,The quarterback did not try hard.,The quarterback put forth great effort.,0
Her hair was as strong as A twine rope,Her hair was strong as metal.,Her hair was brittle.,1
She has the artistry of Picasso,She has impressive artistic skills.,She has no artistic skills.,0
I like this project as much as I like my enemy,The project is unlikeable.,The project is likeable.,0
He is as mean as Mother Teresa,He is mean.,He is kind.,1
The book plot was as straightforward as uncombed hair,The book plot was very straightforward.,The book plot was very twisted.,1
He is as adventurous as a sofa bed,He is exciting.,He is boring.,1
The board game requires the strategy of an embryo turned newborn,The board game requires a lot of strategy.,The board game requires almost no strategy.,1
The nuclear reaction happened like falling dominoes,There were multiple steps to the reaction.,The reaction happened all at once.,0
The gambler had the luck of a black cat walking under a ladder,The gambler was lucky.,The gambler was unlucky.,1
I was as hungry as a man after Thanksgiving dinner,I was famished.,I was full.,1
Things around here are about as orderly as a gulag,Things around there are not orderly at all.,Things around there are extremely orderly.,1
That party lasted as long as a line of coke at a drug rehab,The party lasted a short amount of time.,The party lasted a long time.,0
That party lasted as long as a pickle and olive pie at a dessert table,The party lasted a short amount of time.,The party lasted a long time.,1
He cooked like a monkey,He was precise in his way of cooking.,He was bad at cooking.,1
The high student has as many things on her to-do list as a business executive,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,0
The dancer landed her jump with the grace of a cat,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,0
Her eyes reflected a sparkle like that of a roach,Her eyes were bright and shiny.,Her eyes were blank.,1
The song is as deep as A closet,The song is superficial.,The song is heartfelt.,0
The writer was about as quiet as a cricket on a summer night,The writer is very quiet.,The writer is noisy.,1
The villain is as beautiful as the Joker,The villain is hideous.,The villain is gorgeous.,0
Her commitment to the cause was as sturdy as plywood,She was committed.,She was uncommitted.,1
Their family is a peace corps,Their family is combative.,Their family is helpful.,1
The girl lies as much as Jesus,The girl lies all the time.,The girl never lies.,1
My professor is a great story teller,My professor's lecture is so boring that it puts me to sleep.,My professor's lecture is so interesting that makes me keep wanting to listen to her.,1
Her gaze is a disco ball,Her gaze is focused.,Her gaze is diffuse.,1
He has the courage of a baby,He is very courageous and brave.,He is scared.,1
The football player was a dancer,The football player was clumsy.,The football player was careful.,1
He felt right as acid rain,He was feeling right.,He was feeling wrong.,1
I'm as annoyed as a secretary on vacation,I am irritated.,I am calm.,1
The line move as fast as a scared cat,The line moves quickly.,The line moves slowly.,0
The night sky was as dark as a milky latte,The night sky was pitch black.,The night sky was very light.,1
The boss was as angry as a charging rhinoceros,The boss was vrey upset.,The boss was even-tempered.,0
The gun was as powerful as a butterfly,The gun was powerful.,The gun was weak.,1
The soup was as spicy as cinnamon hots,The soup was fiery in flavor.,The soup wasn't spicy at all.,0
So many responsibilities had Joe about as hungry as a whale,Joe was very hungry because of his responsibilities.,Joe was not very hungry because he had so much to do.,0
He has the morality of the snake in the Garden of Eden,He is very moral.,He lacks morality.,1
My friend is as loyal as a pack of hyenas,My friend is a backtabber.,My friend would take a secret to the grave.,0
This cup had the filth of the Great Pacific garbage patch,It is quite dirty.,It's clean as can be.,0
The groom was feeling like a pig in mud,The groom was happy.,The groom was sad.,0
You're about as skinny as a pig,You are very skinny.,You are fat.,1
That boy has the sense of a rock,The boy is stupid.,The boy is a genius.,0
The man is as sharp as a bowling ball,The man is stupid.,The man is smart.,0
Love is an economic exchange,It's purely finance.,It's god like.,0
The panda has the spots of a kid with chickenpox,The panda is very spotted.,The panda lacks spots.,0
The panda has the spots of a rubber duck,The panda is very spotted.,The panda lacks spots.,1
This court trial is as fair as playing chess with a robot,The court trial is unfair.,The court trial is very fair.,0
The boy is a ballerina,The boy is clumsy.,The boy is graceful.,1
The car ride was as smooth as paper,The car ride went very smoothly.,The car ride was very bumpy.,0
My brain is as clear as a foggy London morning,I can think clearly.,I can't think clearly.,1
The book's plot was as twisted as a parade of soldiers,The book's plot was all over the place.,The book's plot followed a linear fashion.,1
The doctor has the warmth of a cozy blanket,The doctor is cold and unfeeling.,The doctor is comforting.,1
The music was as loud as a bumblebee,The music was loud.,The music was quiet and soft.,1
The patient's blood vessels are a closet hallway,Blood is flowing smoothly.,Blood is being blocked.,1
This guy has the pleasantness of a tiger,This guy is nice.,This guy is rude.,1
Her eyes were warm soup on a winter day,Her eyes made him feel uncomfortable.,Her eyes were comforting.,1
The episode has the depth of the mariana trench,The episode is boring.,The episode is interesting.,1
The cat was as healthy as a cancer patient,The cat was in good shape.,The cat was in bad shape.,1
The witness is like Like an old broom,They know about all the dirt.,They don't give up anything easily.,0
The girl moved as fast as a turtle,The girl was quick.,The girl was slow.,1
The dog has nerves of glass,The dog is fearless and unbothered.,The dog is easily upset and scared.,1
The flea medication is an unplugged coffee maker,The flea medication is ineffective.,The flea medication is efficacious.,0
The pudding tastes like A chocolate ocean,The pudding is not at all edible.,The pudding is delicious.,1
This water is as clear as the La Brea Tar Pits,The water is very murky.,The water is very clear.,0
The pills have the chalkiness of a sidewalk a dozen kids have drawn on,The pills are very chalky.,The pills aren't at all chalky.,0
The water is as clear as coke,The water is clean.,The water is dirty.,1
The dog barked like a cricket,The dog barked loudly.,The dog barked quietly.,1
His head was filled with molasses,He wasn't very bright.,He was very smart and had a lot of good ideas.,0
The list was long like a pen tip,The list was long.,The list was short.,1
This man is as brave as a house kitten,The man is timid.,The man is courageous.,0
The girl's dress pattern was as uniform as a potluck,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,0
The girl's dress pattern was as uniform as a checkerboard,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,1
The lawn mower has the power of Edward Scissorhands,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,1
"For the nation, their army was a a sword",The army protected the country.,The army harmed other countries.,1
The military is as organized as a chessboard,The military is very organized.,The military is not organized at all.,0
His temper was a tempest,He had a terrible temper.,He didn't really have a temper.,0
His book was as hard to navigate as a trip to the corner store,The book was hard to finish.,The book was easy to finish.,1
The view was an witch's wart,The view was beautiful.,The view was ugly.,1
The toddler's cries were as loud as a library,The toddler's cries were loud.,The toddler's cries were quiet.,1
That cake is as moist as The Sahara desert,The cake is dry.,The cake is not dry.,0
The butler's posture was that of a weeping willow,The butler had poor posture.,The butler had good posture.,0
The movie has the depth of the roots of a daisy,The movie is epic.,The movie lacks plot.,1
The table is a bed of rocks,The table is bumpy.,The table is smooth.,0
The chocolate cake is as fluffy as cotton candy,The chocolate cake is light.,The chocolate cake is dense.,0
It was built like a castle,It was durable.,It was flimsy.,0
The razor has the cutting power of a cartoon cat's claws,The razor cuts well.,The razor can barely cut at all.,0
The movie had the depth of A preschool curriculum,The movie is shallow.,The movie is thought provoking.,0
He hustles like rent was due three days ago,He hustles hardcore.,He doesn't hustle at all.,0
The weightlifter has the strength of an eyelash,The weightlifter is weak.,The weightlifter is powerful.,0
The weightlifter has the strength of a dung beetle,The weightlifter is weak.,The weightlifter is powerful.,1
Raising a teenager is playing craps against a table with rigged dice,Raising a teenager is fraught with impossible risks.,Raising a teenager is a pleasant surprise.,0
The problem was small as a pea,The problem was small.,The problem was big.,0
The person was cold as A sub zero freezer,The person is very cold.,"The person is cold, but used to it and thriving.",0
Her hair is A waterfall,Her hair is reflective and shiny.,Her hair is dry and lifeless.,0
The lion has the pouncing power of a dog with no legs,The lion has a lot of pouncing ability.,The lion cannot pounce.,1
The man's sneeze was as noticeable as a whisper,The man's sneeze was unmistakably noticeable.,The man's sneeze was undetected.,1
He's as rich as MC Hammer in the '90s,He has a lot of money.,He does not have a lot of money.,1
The flowers have the scent of a garbage fire on a hot summer night,The flowers have a good scent.,The flowers have an awful scent.,1
The girl's room was as messy as a housekeeper,The girl's room was a total mess.,The girl's room was very clean.,1
He had the passion of a nap,He was very passionate.,He was not passionate.,1
The sculpture has the fragility of a cannon made of gladd,It's likely to break.,It's practically unbreakable.,0
She is A fragile leaf,She is weak.,She is strong.,0
The girl craves as much attention as the red carpet,The girl wants all the attention.,The girl doesn't want any attention.,0
The girl craves as much attention as a doe,The girl wants all the attention.,The girl doesn't want any attention.,1
The girl was as bubbly as still water,The girl was vivacious.,The girl was bland.,1
She's about as sharp as a knife,She is smart.,She is dimwitted.,0
The facts were as clear as a murky pond,The facts were obvious.,The facts were obscure.,1
His argument is teflon,His argument is weak.,His argument is strong.,1
He had all the style of a secondhand leisure suit,He is very stylish and hip.,He's very OUT of style.,1
This actor has the dynamism of a parquet floor,This actor is not dynamic.,This actor is extremely dynamic.,0
This person has the warmth of a desert,The person is kind.,The person is unkind.,0
The kids have as much energy as Olympic athletes,The kids have tons of energy.,The kids don't have any energy at all.,0
The man was as handsome as a physician in a white coat,The man looked sharp.,The man was plain-looking.,0
The family was as rich as a pile of dirt,The family was very rich.,The family was very poor.,1
The sweater had the stripes of a horse wearing a polka dot shirt,The sweater had many stripes.,The sweater was lacking in stripes.,1
The girl is as reliable as an SUV,The girl can definitely be relied upon.,The girl isn't reliable at all.,0
"To the audience, Sara's speech was warm tea","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",1
Reading the comic was exciting as homework,Reading the comic was very exciting.,Reading the comic was very boring.,1
He dove with all the grace of an Olympic swimmer,He dove well.,"He dove poorly, and sank as he hit the water.",0
Her presence at the wedding was as expected as drama on the Jerry Springer show,Her presence at the wedding was unexpected.,Her presence at the wedding was very expected.,1
Love is rain on your beach vacation,Love is awesome.,Love is terrible.,1
The book read like a secret note,The book was easy to read.,The book was hard to read.,1
That complex was a standing titan,The complex is strong.,The complex has a noticeable weak point.,0
My house is as loud as a cemetery,My house is loud.,My house is quiet.,1
Her love was as valuable as The feseral reserve,He cherished her love.,She was not worth much to him.,0
He's as ready as a steam engine,He's fully ready.,He's not ready at all.,0
The atom is like a cloud,Electrons orbit the nucleus.,Electrons are in probability densities.,1
The giraffe was as tall as a shoe,The giraffe was tall.,The giraffe was short.,1
My house is a castle,My house is elegant and proud.,My house is a mess.,0
The cat's tail moved with the rhythm of wheat swaying in the breeze,The cat's tail was fast.,The cat's tail was slow.,1
The school was full of young monkeys,The school was full of energetic children.,"The school was full of slow, lethargic children.",0
The conference had a rivulet of submission,There were few submissions.,There were many submissions.,0
Riding a motorcycle is as dangerous as walking down the street,Riding a motorcycle is very dangerous.,Riding a motorcycle isn't any more dangerous than doing normal everyday things.,1
His fear was that of a farm pig facing down a bowl of slop,He had a lot of fear.,He has no fear.,1
She and dogs go together like peanut butter and chocolate,They go together really well.,They don't go together at all.,0
The washing machine has the cleaning ability of a fully rested man with OCD in a dirty room,The washing machine cleans very well.,The washing machine leaves behind a lot of filth.,0
That man's about as deep as the Mediterranean sea,That man is not deep at all.,That man is very deep.,1
The floor has the sheen of a show dog's coat,"The floor is dull, not shiny at all.",The floor is luxuriously shiny.,1
The architect's building design was as inspiring as a Soviet apartment block,The architect's building design was unoriginal.,The architect's building design was a masterpiece.,0
She's as attractive as the backside of a wildebeest,She is ugly.,She is beautiful.,0
He's got the swimming ability of a pack of dolphins,He can swim well.,He isn't good at swimming.,0
The city was as big as a island,The city was very big.,The city was very small.,1
The horse has the staying power of a three-legged dog,The horse has little endurance.,The horse has lots of endurance.,0
It's as loud as a hurricane,It's very loud.,It makes no noise at all.,0
Those individuals are a bunch of snowflakes,The individuals are homogenous.,The individuals are unique.,1
The preacher had the speaking voice of a pregnant goat,The preacher has an unpleasant voice.,The preacher has an impressive voice.,0
The night was as rowdy as a senior home,The night was very rowdy.,The night was very dull.,1
The girl's head is a balloon,The girl is ignorant.,The girl is very knowledgeable.,0
