startphrase,ending1,ending2,correct_label
My coffee is as hot as the center of the earth,The coffee is hot.,The coffee is not hot.,0
The mall was a big as Downtown Chicago,The mall was expansive.,The mall was cramped.,0
His head was filled with molasses,He wasn't very bright.,He was very smart and had a lot of good ideas.,0
He was as sturdy as a brick house,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",0
The girl is as reliable as an SUV,The girl can definitely be relied upon.,The girl isn't reliable at all.,0
His argument is teflon,His argument is weak.,His argument is strong.,1
She was sleepy like a speed addict,She was sleepy.,She was not sleepy.,1
Owning a cat is an extended visit by your favorite aunt,Owning a cat is not pleasant.,Owning a cat is quite sweet.,1
You're about as skinny as a pig,You are very skinny.,You are fat.,1
The movie has as much mystery as Cleopatra's tomb,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,1
He dove with all the grace of an anchor,He dove well.,"He dove poorly, and sank as he hit the water.",1
The student was as ashamed as a stock broker in debt,He was proud.,He was embarrassed.,1
I like this project as much as I like my game,The project is unlikeable.,The project is likeable.,1
He should be back before the sun implodes,He will be back quickly.,He will be back slowly.,1
The food has all the flavor of dried sugar-free oatmeal,The food has a ton of flavor.,The food is pretty bland.,1
The weightlifter has the strength of a dung beetle,The weightlifter is weak.,The weightlifter is powerful.,1
The teacher was as successful in her occupation as a lame-duck President,"The teacher was inventive, at the forefront of her occupation, and highly successful.","The teacher was unsuccessful, basically useless in getting anything accomplished.",1
The water is as clear as coke,The water is clean.,The water is dirty.,1
The movie has the depth of a wading pool,The movie is profound.,The movie is vapid.,1
His mind was a bouncy ball,His thinking is rigid and mathematical.,His thinking is frenetic and open.,1
The night was as rowdy as a senior home,The night was very rowdy.,The night was very dull.,1
Her gaze is a disco ball,Her gaze is focused.,Her gaze is diffuse.,1
The bath was as hot as the ocean,The bath was very hot.,The bath was not hot.,1
My depression these days is like a close friend,The speaker hates their depression but has not had to deal with it in a while.,The speaker deals with their depression so constantly that they have grown used to it.,1
The Christmas tree is as bright as nightlight in the middle of the day,It's very bright.,It's quite dim.,1
The lawn mower has the power of Edward Scissorhands,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,1
The song has the melody of nails on a chalkboard,The song has a beautiful melody.,The song has a very unpleasant melody and sound.,1
Her eyes reflected a sparkle like that of a roach,Her eyes were bright and shiny.,Her eyes were blank.,1
The temperature feels like outer space,The temperature is extremely hot.,The temperature is freezing cold.,1
The pills have the chalkiness of a warm cup of milk,The pills are very chalky.,The pills aren't at all chalky.,1
When the morning is tough sip your hot coffee and watch the news,Do not let one bad thing ruin your whole day.,Look at the world others are having a much rougher day.,1
"She's as attractive as bacon, steak, beer and football after sleeping in on a Sunday",She is ugly.,She is beautiful.,1
The view as as clear as mud,The view was very clear.,The view as obstructed and not clear.,1
The board game requires the strategy of an embryo turned newborn,The board game requires a lot of strategy.,The board game requires almost no strategy.,1
This guy has the charisma of a Greek god,"This guy is bland and boring, with no appeal.",This guy is incredibly appealing to the point of being legendary.,1
The gambling at the casino had all the excitement of A fast-paced football game,The gambling at the casino was boring.,The gambling was exciting and entertaining.,1
Her wit was a sharp as a marble,She was extremely witty.,She was dull at the best of times.,1
Time is a river,You can't change the future.,You can change the future.,1
This place is as hot as Syberia in winter,This place is so hot it could burn you.,This place is actually extremely cold.,1
The movie has the depth of the roots of a daisy,The movie is epic.,The movie lacks plot.,1
The meal was like a horror movie,The meal was invigorating.,The recipient dreaded what came next while eating.,1
He was as sharp as a cat's claw,He was not very smart.,He was very smart.,1
The racetrack was as slippery as carpet,The track was very slippery.,The track was not slippery.,1
She has the personality an A discoball,She is boring and lame.,She is colorful and fun.,1
He has the money of Mr,Burns. He has a lot of money.,Magoo after mistaking a post-it notepad for his wallet. He has almost no money.,1
The TV eats the electricity of an old wristwatch,It uses a lot of power.,It draws very little power.,1
He has the attitude of the Grinch at Halloween,He has a bad attitude.,He's got a good attitude.,1
Comedy is a rainstorm,Comedy is good.,Comedy is bad.,1
He's as country as Manhattan,He's very country.,He's not very country at all.,1
The Brain is a Prism,Brain is hypersensitive and connects many things.,Brain take one input and gives multiple output.,1
The book plot was as straightforward as uncombed hair,The book plot was very straightforward.,The book plot was very twisted.,1
The cake is as moist as the surface of Mercury,It's very moist.,It's incredibly dry.,1
The lion has the roar of mosquito flying down a busy street,The lion's roar is loud.,The lion's roar is bately audible.,1
The music was as loud as a bumblebee,The music was loud.,The music was quiet and soft.,1
School is a prison,School is rowdy and entertaining.,School is full of restraint.,1
He has the morality of the snake in the Garden of Eden,He is very moral.,He lacks morality.,1
He was as inconspicuous as a peacock,He was very inconspicuous.,He was highly conspicuous and noticeable.,1
Life is a God's will,It is a learning experience.,It is predisposed.,1
That complex was a standing Achilles,The complex is strong.,The complex has a noticeable weak point.,1
He had the wisdom of a turnip,He was wise.,He was ignorant.,1
The running dog is A stranger on the street,The running dog is man's best friend.,The running dog avoids people.,1
The game has all the challenge of walking to the bathroom first thing in the morning,The game is fairly challenging.,The game lacks challenge.,1
Riding a motorcycle is as dangerous as walking down the street,Riding a motorcycle is very dangerous.,Riding a motorcycle isn't any more dangerous than doing normal everyday things.,1
She had the anger of a nap,She was an angry person.,She was an evenhanded person.,1
"For the nation, their army was a a sword",The army protected the country.,The army harmed other countries.,1
My professor is a great story teller,My professor's lecture is so boring that it puts me to sleep.,My professor's lecture is so interesting that makes me keep wanting to listen to her.,1
The park has all the appeal of a free triple scoop ice cream cone on a hot day,The park is disgusting.,The park is enticing.,1
This actor has the dynamism of an electrical substation,This actor is not dynamic.,This actor is extremely dynamic.,1
It's as loud as the vacuum of space,It's very loud.,It makes no noise at all.,1
This football game is like a blue starfish,This football game is full of action.,This football game is moving slowly.,1
Her skin was a a carribean beach,Her skin was red and splotchy.,Her skin was pale and clean.,1
After a workout he had as much energy as A wind up toy car,He had a lot of energy.,He had very little energy.,1
Their love is as deep as a thimble,They are madly in love.,They're not in love.,1
Her greeting had the warmth of a snuffed out candle,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,1
The girl lies as much as Jesus,The girl lies all the time.,The girl never lies.,1
The cougar had the dangerousness of a goldfish in a kiddie pool,The cougar is quite dangerous.,The cougar isn't too dangerous.,1
The girl's dress pattern was as uniform as a checkerboard,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,1
She was as bright as obsidian,She was intelligent.,She was unintelligent.,1
The writer was about as quiet as a cricket on a summer night,The writer is very quiet.,The writer is noisy.,1
His anger was as visible as a piece of thin glass,It was very clear that he was angry.,His anger was very well hidden.,1
The night sky was as dark as a milky latte,The night sky was pitch black.,The night sky was very light.,1
The inflation rate these days is a pig in a pen,Inflation has gotten out of control.,Inflation is under control.,1
It was as melodious a colicky baby,It was melodious.,It was not melodius.,1
He has the nose of an elephant with a sinus infection,His nose is good looking.,His nose looks ugly.,1
His fear was that of a farm pig facing down a bowl of slop,He had a lot of fear.,He has no fear.,1
Love is rain on your beach vacation,Love is awesome.,Love is terrible.,1
The bottle was thin like a brick wall,The bottle was thin.,The bottle wasn't thin.,1
He feels the love of the devil to everything good,He feels a lot of love.,He feels little love.,1
He had the air of a church leader,People were intimidated by him.,People were not intimidated by him.,1
George moved like a chicken with its head cut off,George was very focused.,George lacked proper focus in the way he conducted himself.,1
The ceiling fan has the capacity of a whirling dervish,The fan has poor circulation.,The fan circulates efficiently.,1
He's as rich as MC Hammer in the '90s,He has a lot of money.,He does not have a lot of money.,1
Her love was as valuable as Dime store candy,He cherished her love.,She was not worth much to him.,1
My wife's cooking tastes like heaven,My wife is a terrible cook.,My wife is an excellent cook.,1
His new car has as much power as Chernobyl today,The car has lots of power.,The car is so low in power it's not working.,1
The pool's as shallow as a black hole,The pool is shallow.,The pool is very very deep.,1
The blanker provides the warmth of an open refrigerator,The blanket provides a lot of warmth.,The blanket provides little warmth.,1
"To her, facts are like flagstones","To her, facts are confusing and hard to navigate in.","To her, facts are easily see and used to guide.",1
The blimp was as light as stone,The blimp was very light.,The blimp was heavy.,1
The girl is as shallow as the Pacific Ocean,The girl is really shallow.,The girl has a lot of layers to her.,1
Her devotion to her family was as strong as a kitten,She is strongly devoted to her family.,She is only weakly devoted to her family.,1
The city was as big as a island,The city was very big.,The city was very small.,1
I was as hungry as a man after Thanksgiving dinner,I was famished.,I was full.,1
The bowl is a durable baby turtle,The bowl is very durable.,The bowl is fragile.,1
The patient's blood vessels are a closet hallway,Blood is flowing smoothly.,Blood is being blocked.,1
Chromosomes are like a tapestry,Chromosomes are messy.,Chromosomes are well organized.,1
This cup had the filth of a brand new dishwasher,It is quite dirty.,It's clean as can be.,1
The departmental store manager has the heart hard as nails,The departmental store manager is kind and friendly.,"The departmental store manager is unfriendly, cruel and unkind.",1
Jane was a friend as good as The smell of stale cigarette smoke,Jane was a comforting friend.,Jane was stagnant as a friend.,1
Her hair had the volume of a limp rag,Her hair had a lot of volume.,Her hair lacked volume.,1
The sweater had the stripes of a horse wearing a polka dot shirt,The sweater had many stripes.,The sweater was lacking in stripes.,1
The grass was the green of puke,The grass was healthy and bright green.,The grass was dying and ugly green.,1
The tactic is as complex as Calculus,"The tactic is simple, easy to figure out.",The tactic is complex and involves many steps.,1
The person was cold as As fish swimming under frozen ice,The person is very cold.,"The person is cold, but used to it and thriving.",1
The officer has the training of a newborn goldfish,The officer is well trained.,The officer has little training.,1
The boy is a ballerina,The boy is clumsy.,The boy is graceful.,1
The toothbrush has the firmness of a brown banana,The toothbrush is very firm.,The toothbrush lacks firmness.,1
The bar is a cat's jump away,The bar is far away.,The bar is close by.,1
World peace is a family dinner where no one fights,World peace is an unattainable ideal.,"World peace is a good, if unexpected, thing.",1
Things around here are about as orderly as a gulag,Things around there are not orderly at all.,Things around there are extremely orderly.,1
This guy has the pleasantness of a tiger,This guy is nice.,This guy is rude.,1
The panda has the spots of a rubber duck,The panda is very spotted.,The panda lacks spots.,1
The relationship between Democrats and Republicans is that over a couple married for 50 years,Democrats and Republicans do not get along.,Democrats and Republicans tolerate each other.,1
