startphrase,completion
"The man was had the strength of a lion. That is to say,", he was strong enough to lift a lion
"The man was had the strength of a lion. That is to say,", he was stronger than the average man
"The man was had the strength of a lion. That is to say,", he was very strong
"She had all the honesty of a corporate lawyer. That is to say,", she had none
"She had all the honesty of a corporate lawyer. That is to say,", none
"She had all the honesty of a corporate lawyer. That is to say,", none
"She had all the honesty of a corporate lawyer. That is to say,", none
"The girl moved as fast as a turtle. That is to say,", not at all
"The girl moved as fast as a turtle. That is to say,", not very fast at all
"The girl moved as fast as a turtle. That is to say,", not very fast
"The girl moved as fast as a turtle. That is to say,", she moved as fast as a turtle with a broken leg
"He has the attitude of the Grinch at Halloween. That is to say,", he’s very grinchy
"He has the attitude of the Grinch at Halloween. That is to say,", he is a Grinch
"He has the attitude of the Grinch at Halloween. That is to say,", he's not happy about it
"He has the attitude of the Grinch at Halloween. That is to say,", he’s a grump
"His skill in writing was as sharp as a knife. That is to say,", he could cut the heart of a person with his words
"His skill in writing was as sharp as a knife. That is to say,"," his writing was clear and simple, and he was able to write with a touch of elegance"
"His skill in writing was as sharp as a knife. That is to say,", he had a sharp tongue
"His skill in writing was as sharp as a knife. That is to say,", he could cut off the unnecessary parts of the story and leave only the essential parts
"He's got the swimming ability of a pack of dolphins. That is to say,", he can't swim
"He's got the swimming ability of a pack of dolphins. That is to say,", he can't swim at all
"He's got the swimming ability of a pack of dolphins. That is to say,", he's got none
"He's got the swimming ability of a pack of dolphins. That is to say,", he can't swim at all
"My wife's cooking tastes like heaven. That is to say,", it tastes like nothing
"My wife's cooking tastes like heaven. That is to say,", it tastes like heaven to me
"My wife's cooking tastes like heaven. That is to say,", it tastes like heaven to me
"My wife's cooking tastes like heaven. That is to say,", it tastes like heaven to me
"He has the nose of Michaelangelo's David. That is to say,", it is perfect
"He has the nose of Michaelangelo's David. That is to say,", he has a nose
"He has the nose of Michaelangelo's David. That is to say,", he has the nose of a statue
"He has the nose of Michaelangelo's David. That is to say,"," it is a nose that is a nose, and not a symbol of anything else"
"The razor has the cutting power of a declawed kitten. That is to say,", it doesn’t
"The razor has the cutting power of a declawed kitten. That is to say,", it's not very sharp
"The razor has the cutting power of a declawed kitten. That is to say,", it has none
"The razor has the cutting power of a declawed kitten. That is to say,", it has no cutting power
"That boy has the sense of a rock. That is to say,", none at all
"That boy has the sense of a rock. That is to say,", he has none
"That boy has the sense of a rock. That is to say,", he has none
"That boy has the sense of a rock. That is to say,", none at all
"My wife's cooking tastes like cardboard. That is to say,", it tastes like cardboard to me
"My wife's cooking tastes like cardboard. That is to say,", it's not very good
"My wife's cooking tastes like cardboard. That is to say,", it tastes like it's been in the oven for a long time
"My wife's cooking tastes like cardboard. That is to say,", it tastes like the cardboard boxes that the food is packaged in
"The teacher's grading policy was as flexible as a steel beam. That is to say,", it was very rigid
"The teacher's grading policy was as flexible as a steel beam. That is to say,", it was rigid
"The teacher's grading policy was as flexible as a steel beam. That is to say,", it was rigid
"The teacher's grading policy was as flexible as a steel beam. That is to say,", it was rigid
"The pillow was as soft as a cloud. That is to say,"," it was not as soft as a cloud, but it was definitely softer than a rock"
"The pillow was as soft as a cloud. That is to say,"," it was soft enough to be comfortable, but not soft enough to be a cloud"
"The pillow was as soft as a cloud. That is to say,"," it was soft, but not as soft as a cloud"
"The pillow was as soft as a cloud. That is to say,", it was as soft as a cloud that was a pillow
"The room felt like a cooler. That is to say,", it was cold
"The room felt like a cooler. That is to say,", it was cold
"The room felt like a cooler. That is to say,"," it was a room that had a temperature that was cooler than the temperature of the outside, and it was a room that was cooler than the temperature of the outside"
"The room felt like a cooler. That is to say,"," it was the same temperature as the rest of the house, but it felt cooler"
"The conversation has me feeling like I just ate the whole Thanksgiving turkey. That is to say,", I'm full and happy
"The conversation has me feeling like I just ate the whole Thanksgiving turkey. That is to say,", I'm stuffed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey. That is to say,", I'm feeling a little stuffed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey. That is to say,", I'm stuffed
"The military is as organized as a toddler's bedroom. That is to say,", it's a mess
"The military is as organized as a toddler's bedroom. That is to say,", not at all
"The military is as organized as a toddler's bedroom. That is to say,", it's a total mess
"The military is as organized as a toddler's bedroom. That is to say,", not very
"The ball is a big red sun. That is to say,", it is a big red ball
"The ball is a big red sun. That is to say,", it is red and it is round
"The ball is a big red sun. That is to say,", it is a sphere
"The ball is a big red sun. That is to say,", the ball is a red sun
"The actor has the fame of a box of rocks. That is to say,", he is famous for being famous
"The actor has the fame of a box of rocks. That is to say,", he is famous for being famous
"The actor has the fame of a box of rocks. That is to say,", he's famous for being famous
"The actor has the fame of a box of rocks. That is to say,", he is famous for being famous
"This guy has the charisma of a Greek god. That is to say,", he has none
"This guy has the charisma of a Greek god. That is to say,", he doesn’t have any
"This guy has the charisma of a Greek god. That is to say,", he has none
"This guy has the charisma of a Greek god. That is to say,", he doesn’t
"This dog is as aggressive as a heavyweight fighter. That is to say,", it is an aggressive dog
"This dog is as aggressive as a heavyweight fighter. That is to say,", it is a dog that will attack a human being
"This dog is as aggressive as a heavyweight fighter. That is to say,"," it is aggressive to other dogs, but not to people"
"This dog is as aggressive as a heavyweight fighter. That is to say,", he's a big old softy
"The book plot was as straightforward as a Y-axis. That is to say,", it was a straight line
"The book plot was as straightforward as a Y-axis. That is to say,", it was a straight line
"The book plot was as straightforward as a Y-axis. That is to say,", there was none
"The book plot was as straightforward as a Y-axis. That is to say,", it was linear
"The conductor is a demolition derby. That is to say,", the conductor is a set of rules that controls the flow of the program
"The conductor is a demolition derby. That is to say,", the conductor is a set of instructions that tells the orchestra how to play
"The conductor is a demolition derby. That is to say,", the conductor is a group of people who are trying to kill each other
"The conductor is a demolition derby. That is to say,", it is a contest of control
"The fortress appears as a boulder. That is to say,", it is a huge boulder that is so big that it is a fortress
"The fortress appears as a boulder. That is to say,", it is a large rock with a small opening that is hard to see
"The fortress appears as a boulder. That is to say,"," it is a boulder with a small hole in the side, which is the entrance"
"The fortress appears as a boulder. That is to say,"," it is a single huge rock, the size of a house, that has been smoothed and carved into a fortress-like shape"
"The critic's review of the concert rang of The lavish praise given to a king. That is to say,", the critic was more interested in the king than in the music
"The critic's review of the concert rang of The lavish praise given to a king. That is to say,", it was the kind of review that is written for the purpose of flattering the person who is being reviewed
"The critic's review of the concert rang of The lavish praise given to a king. That is to say,", the critic was so enamored of the king that he could not see the forest for the trees
"The critic's review of the concert rang of The lavish praise given to a king. That is to say,"," the critic's review of the concert rang of

the lavish praise given to a king"
"The clothing has the smell of roses. That is to say,", the smell of roses is the smell of clothing
"The clothing has the smell of roses. That is to say,", it has the smell of the rose
"The clothing has the smell of roses. That is to say,", the scent is so strong that it is almost overwhelming
"The clothing has the smell of roses. That is to say,", it smells like a rose
"The businessman was as aggressive in negotiations as a secretary. That is to say,", he was not
"The businessman was as aggressive in negotiations as a secretary. That is to say,", he was not
"The businessman was as aggressive in negotiations as a secretary. That is to say,"," he was all right if you were on his side, but if you were not, he could be a bit of a bully"
"The businessman was as aggressive in negotiations as a secretary. That is to say,", not very
"The book's plot was as twisted as a parade of soldiers. That is to say,", it was a mess
"The book's plot was as twisted as a parade of soldiers. That is to say,", it was twisted
"The book's plot was as twisted as a parade of soldiers. That is to say,", it was just as predictable
"The book's plot was as twisted as a parade of soldiers. That is to say,", it was a mess
"Vanity is the quicksand of reason. That is to say,", it is the enemy of the rational and the friend of the irrational
"Vanity is the quicksand of reason. That is to say,", the more you struggle to appear reasonable the more you sink into unreason
"Vanity is the quicksand of reason. That is to say,"," it is not reason that is the quicksand, but vanity"
"Vanity is the quicksand of reason. That is to say,", it is the enemy of all thought
"The conversation has me sweating like a snowman in the summer. That is to say,", I'm sweating a lot
"The conversation has me sweating like a snowman in the summer. That is to say,", I'm sweating like a snowman in the summer
"The conversation has me sweating like a snowman in the summer. That is to say,", I'm sweating a lot
"The conversation has me sweating like a snowman in the summer. That is to say,", I'm sweating a lot
"He's got the swimming ability of a spider in a bathtub. That is to say,", he can't swim
"He's got the swimming ability of a spider in a bathtub. That is to say,", he can't swim
"He's got the swimming ability of a spider in a bathtub. That is to say,", he's got none
"He's got the swimming ability of a spider in a bathtub. That is to say,", he can't swim at all
"The man was had the strength of a sparrow. That is to say,", he was a wimp
"The man was had the strength of a sparrow. That is to say,", he had the strength of a sparrow compared to a man
"The man was had the strength of a sparrow. That is to say,", he was weak
"The man was had the strength of a sparrow. That is to say,", he was very weak
"Chromosomes are like a tapestry. That is to say,", they are a very long thread that is woven together
"Chromosomes are like a tapestry. That is to say,", they are made up of many different threads
"Chromosomes are like a tapestry. That is to say,"," they are made up of a series of threads, each of which is a long chain of DNA molecules"
"Chromosomes are like a tapestry. That is to say,"," they are made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up of lots of different threads, each of which is made up"
"The family was as rich as a king. That is to say,", they were as rich as a king would be if he had a few million dollars
"The family was as rich as a king. That is to say,", they were rich enough to be able to afford a house like this
"The family was as rich as a king. That is to say,", they had the income of one
"The family was as rich as a king. That is to say,", they were rich enough to be able to afford to live in a palace
"For the nation, their army was a a shield. That is to say,", it was a very strong shield
"For the nation, their army was a a shield. That is to say,", they were the shield of the nation
"For the nation, their army was a a shield. That is to say,", the army was a shield for the nation
"For the nation, their army was a a shield. That is to say,", it was a means of protecting the people
"The actor has the fame of a Roman emperor. That is to say,", he is famous for being famous
"The actor has the fame of a Roman emperor. That is to say,", he is known to everyone who reads newspapers and watches television
"The actor has the fame of a Roman emperor. That is to say,", he is known by everyone
"The actor has the fame of a Roman emperor. That is to say,"," he is a very well-known person, but he is not a celebrity"
"The pot roast was as tender as a warm doughnut. That is to say,", it was tender
"The pot roast was as tender as a warm doughnut. That is to say,", tender
"The pot roast was as tender as a warm doughnut. That is to say,", it was as tender as a pot roast could be
"The pot roast was as tender as a warm doughnut. That is to say,", it wasn't very tender
"Her sight is as good as an eagle. That is to say,", it is very good
"Her sight is as good as an eagle. That is to say,", she can see things from a very long distance
"Her sight is as good as an eagle. That is to say,", she can see things from a great distance
"Her sight is as good as an eagle. That is to say,", she can see things from a distance of a hundred and twenty miles
"The man is as sharp as a bowling ball. That is to say,", he is not sharp at all
"The man is as sharp as a bowling ball. That is to say,", he's not sharp at all
"The man is as sharp as a bowling ball. That is to say,", he's not sharp at all
"The man is as sharp as a bowling ball. That is to say,", he's not sharp at all
"His conversation sounds like a profound speaker. That is to say,"," he talks like a man who has something to say, and knows how to say it"
"His conversation sounds like a profound speaker. That is to say,", he is not a profound speaker
"His conversation sounds like a profound speaker. That is to say,", he is a man who knows how to talk in a way that makes you think he knows what he's talking about
"His conversation sounds like a profound speaker. That is to say,", it sounds profound to the ears of a person who is not accustomed to hearing him
"School is a circus. That is to say,", it is a place where people go to see a show
"School is a circus. That is to say,", it's a place where people are trained to do stupid things in stupid ways
"School is a circus. That is to say,", school is a place where people go to watch a show
"School is a circus. That is to say,", it is a place where the freaks are on display
"The family was as rich as a pile of dirt. That is to say,"," they were as rich as a pile of dirt could be, but not as rich as a pile of gold"
"The family was as rich as a pile of dirt. That is to say,", as rich as a pile of dirt could be
"The family was as rich as a pile of dirt. That is to say,", they were rich
"The family was as rich as a pile of dirt. That is to say,", they were rich
"The job is as easy as tying your shoes. That is to say,", it's not very hard at all
"The job is as easy as tying your shoes. That is to say,", it's easy if you know what you're doing
"The job is as easy as tying your shoes. That is to say,", it is not easy at all
"The job is as easy as tying your shoes. That is to say,", easy for a person who knows how to tie his shoes
"For the nation, their army was a a sword. That is to say,", it was a weapon
"For the nation, their army was a a sword. That is to say,", a sword that could be used to cut off the heads of the enemy
"For the nation, their army was a a sword. That is to say,", it was a weapon that could be used for both offense and defense
"For the nation, their army was a a sword. That is to say,", it was a weapon that could be used to attack and defend
"The event planning hit several storms in the process. That is to say,", the event planning was not without its problems and challenges
"The event planning hit several storms in the process. That is to say,", a lot of people were not happy with the way the event was handled
"The event planning hit several storms in the process. That is to say,", the event planning hit several snags
"The event planning hit several storms in the process. That is to say,", it was not without its challenges
"The book plot was as straightforward as uncombed hair. That is to say,", it was a mess
"The book plot was as straightforward as uncombed hair. That is to say,", it was a mess
"The book plot was as straightforward as uncombed hair. That is to say,", it was a mess
"The book plot was as straightforward as uncombed hair. That is to say,", it was a mess
"Her sight is as good as a mole. That is to say,", she can see in the dark
"Her sight is as good as a mole. That is to say,", she can see in the dark
"Her sight is as good as a mole. That is to say,", her sight is very bad
"Her sight is as good as a mole. That is to say,", it is just about as good as a mole's
"His abs were a wall. That is to say,"," they were a wall, but they were also abs"
"His abs were a wall. That is to say,", he had a wall of abs
"His abs were a wall. That is to say,", they were a wall of abs
"His abs were a wall. That is to say,", I could feel his abs through his shirt
"It's as loud as a hurricane. That is to say,", it's very loud
"It's as loud as a hurricane. That is to say,", it's loud enough to make your ears ring
"It's as loud as a hurricane. That is to say,", it's loud enough to wake up the entire neighborhood
"It's as loud as a hurricane. That is to say,", it's loud enough to make you think you're in the middle of a hurricane
"Chromosomes are like spaghetti. That is to say,"," they are long, thin, and tangled up"
"Chromosomes are like spaghetti. That is to say,"," they are long, thin and difficult to handle"
"Chromosomes are like spaghetti. That is to say,"," they are long, thin strands of DNA"
"Chromosomes are like spaghetti. That is to say,"," they are long, thin strands of DNA"
"The groom was feeling like a raindrop on a grave. That is to say,"," he was feeling like a raindrop on a grave, because he was a raindrop on a grave"
"The groom was feeling like a raindrop on a grave. That is to say,", he was feeling like a raindrop on a grave in a cemetery in the rain
"The groom was feeling like a raindrop on a grave. That is to say,", he was feeling quite sad
"The groom was feeling like a raindrop on a grave. That is to say,", he was feeling very small and insignificant
"he is as adventurous as a pioneer. That is to say,"," he is a man of the future, and he is looking ahead"
"he is as adventurous as a pioneer. That is to say,", he is adventurous in the sense that he is always ready to go somewhere else
"he is as adventurous as a pioneer. That is to say,", he is a man who is willing to take risks and to go forward into the unknown
"he is as adventurous as a pioneer. That is to say,", he is not at all adventurous
"The pillow was as soft as a cement slab. That is to say,", it was soft
"The pillow was as soft as a cement slab. That is to say,", it was hard as a rock
"The pillow was as soft as a cement slab. That is to say,", it was very hard
"The pillow was as soft as a cement slab. That is to say,", not soft at all
"The pot roast was as tender as a boulder encased in concrete. That is to say,", it was hard as a rock
"The pot roast was as tender as a boulder encased in concrete. That is to say,", it was tough and chewy
"The pot roast was as tender as a boulder encased in concrete. That is to say,", it was tough as a rock
"The pot roast was as tender as a boulder encased in concrete. That is to say,", it was tender
"He has the nose of an elephant with a sinus infection. That is to say,", his nose is enormous
"He has the nose of an elephant with a sinus infection. That is to say,", he has a nose that is large and bulbous
"He has the nose of an elephant with a sinus infection. That is to say,", he has a nose
"He has the nose of an elephant with a sinus infection. That is to say,", he has an elephantine sense of smell
"The clothing has the smell of a crowded gym. That is to say,", it smells like a locker room
"The clothing has the smell of a crowded gym. That is to say,", it smells like a locker room
"The clothing has the smell of a crowded gym. That is to say,", it smells like the inside of a gym
"The clothing has the smell of a crowded gym. That is to say,", it smells like the smell of a crowded gym
"The girl's facial expression was as clear as pea soup. That is to say,", it was very easy to read
"The girl's facial expression was as clear as pea soup. That is to say,", she was extremely nervous
"The girl's facial expression was as clear as pea soup. That is to say,", she was very happy
"The girl's facial expression was as clear as pea soup. That is to say,", she was shocked
"Raising a puppy is doing laps in a warm pool. That is to say,"," it's a lot of fun, but you can't stop to rest or you'll get a cramp"
"Raising a puppy is doing laps in a warm pool. That is to say,", it is fun and easy and you don’t want to get out
"Raising a puppy is doing laps in a warm pool. That is to say,", it is a lot of fun and very easy
"Raising a puppy is doing laps in a warm pool. That is to say,", it’s a lot of work
"His drive home was a party. That is to say,", he was the only one in the car
"His drive home was a party. That is to say,"," he had a few beers, but he never got drunk"
"His drive home was a party. That is to say,", he was the only one there
"His drive home was a party. That is to say,", he was the only one there
"His conversation sounds like a broken record. That is to say,", he is a broken record
"His conversation sounds like a broken record. That is to say,", it is a repetition of the same thing over and over
"His conversation sounds like a broken record. That is to say,", he is not very original
"His conversation sounds like a broken record. That is to say,", it is always the same
"The child has the energy of a cheetah. That is to say,"," she has the energy of a small, furry, carnivorous mammal that can run faster than a horse"
"The child has the energy of a cheetah. That is to say,", she is always on the move
"The child has the energy of a cheetah. That is to say,", he is a demon
"The child has the energy of a cheetah. That is to say,", he is fast
"The military is as organized as a chessboard. That is to say,"," it is organized for combat, not for thinking"
"The military is as organized as a chessboard. That is to say,", the top ranks of the military are filled by people who have been groomed for their positions for decades
"The military is as organized as a chessboard. That is to say,", it is organized for war
"The military is as organized as a chessboard. That is to say,", it is not organized at all
"His abs were marshmallows. That is to say,"," they were soft and squishy, like marshmallows"
"His abs were marshmallows. That is to say,"," they were soft and squishy, not hard and rock-like"
"His abs were marshmallows. That is to say,", he had a six-pack
"His abs were marshmallows. That is to say,"," they were soft and squishy, like marshmallows"
"The critic's review of the concert rang of A disapproving rant from an angry mother. That is to say,"," it was not a review at all, but an attack on the artist"
"The critic's review of the concert rang of A disapproving rant from an angry mother. That is to say,", the critic was a woman
"The critic's review of the concert rang of A disapproving rant from an angry mother. That is to say,", it was a review of a concert by a critic who was not a fan of the performer's work and had no intention of being fair
"The critic's review of the concert rang of A disapproving rant from an angry mother. That is to say,", the critic was not a fan of the music
"A chemical reaction is like a ballroom dance. That is to say,", the partners are constantly changing partners
"A chemical reaction is like a ballroom dance. That is to say,"," it is a process of give and take, in which the partners, in order to maintain a state of equilibrium, must constantly adjust their movements to each other"
"A chemical reaction is like a ballroom dance. That is to say,", the partners are constantly changing
"A chemical reaction is like a ballroom dance. That is to say,", the partners must be well-matched
"He had funnels in his ears throughout the lecture. That is to say,", he was listening to music through earphones
"He had funnels in his ears throughout the lecture. That is to say,", he was listening to music
"He had funnels in his ears throughout the lecture. That is to say,", he was listening to music on a headset
"He had funnels in his ears throughout the lecture. That is to say,", he was listening to music on his iPod
"The groom was feeling like a pig in mud. That is to say,", he was feeling very happy
"The groom was feeling like a pig in mud. That is to say,", he was feeling like a pig in a mud puddle
"The groom was feeling like a pig in mud. That is to say,", he was feeling very happy
"The groom was feeling like a pig in mud. That is to say,", he was feeling like a pig in the mud
"This dog is as aggressive as a cotton ball. That is to say,", not at all
"This dog is as aggressive as a cotton ball. That is to say,", not very aggressive at all
"This dog is as aggressive as a cotton ball. That is to say,", not at all
"This dog is as aggressive as a cotton ball. That is to say,", not at all
"The chair was a foundation. That is to say,", it was a thing that was supposed to be there
"The chair was a foundation. That is to say,", it was the first thing that was built
"The chair was a foundation. That is to say,", it was a chair
"The chair was a foundation. That is to say,"," it was a place to sit, a place to rest one’s backside"
"he is as adventurous as a sofa bed. That is to say,", he is not
"he is as adventurous as a sofa bed. That is to say,", he's not
"he is as adventurous as a sofa bed. That is to say,", he is not
"he is as adventurous as a sofa bed. That is to say,", not at all
"The girl's facial expression was as clear as a windowpane. That is to say,", it was a face that was as clear as a windowpane
"The girl's facial expression was as clear as a windowpane. That is to say,", she was extremely shocked
"The girl's facial expression was as clear as a windowpane. That is to say,", she was extremely unhappy
"The girl's facial expression was as clear as a windowpane. That is to say,", it was transparent
"She had all the honesty of a sinner at confession. That is to say,"," she was frank about her wrong-doings, but not about her motives"
"She had all the honesty of a sinner at confession. That is to say,", she lied like a horse
"She had all the honesty of a sinner at confession. That is to say,", she lied
"She had all the honesty of a sinner at confession. That is to say,", she lied like a saint
"The child has the heart of stone. That is to say,", the heart of the mother
"The child has the heart of stone. That is to say,", the child has a heart of stone
"The child has the heart of stone. That is to say,", the child is in a state of heartlessness
"The child has the heart of stone. That is to say,", he has no heart at all
"The ball is a pea. That is to say,", it is a small sphere
"The ball is a pea. That is to say,"," a small, green, round vegetable"
"The ball is a pea. That is to say,"," it is a ball, and it is a pea"
"The ball is a pea. That is to say,", it is a ball of a certain size and shape
"The boy is as daring as a fawn. That is to say,", he has a lot of nerve
"The boy is as daring as a fawn. That is to say,", he is a coward
"The boy is as daring as a fawn. That is to say,", he is a coward
"The boy is as daring as a fawn. That is to say,", he is not daring at all
"His temper was a tempest. That is to say,"," he was never angry, but he was always ready to be angry"
"His temper was a tempest. That is to say,", he was always angry
"His temper was a tempest. That is to say,", it was very bad
"His temper was a tempest. That is to say,"," he was a man of violent passions, but they were of short duration"
"The man was as skinny as a broom. That is to say,", he was tall and thin
"The man was as skinny as a broom. That is to say,", he was as skinny as a broomstick
"The man was as skinny as a broom. That is to say,"," he was short and thin, with a narrow face, long nose, and a pointed chin"
"The man was as skinny as a broom. That is to say,", he was as skinny as a broomstick
"The conductor is a sculptor. That is to say,"," he is a creator of forms, and he is an artist"
"The conductor is a sculptor. That is to say,"," he is a man who takes a mass of material and shapes it into a form which is beautiful when it is finished, but the process of making it is not beautiful at all"
"The conductor is a sculptor. That is to say,", he is the creator of a form which is the sum of all the forms of the work
"The conductor is a sculptor. That is to say,"," he is not a man who simply gives the orders for the construction of a work, but he is himself the creator of that work"
"The villain is as beautiful as an angel in heaven. That is to say,", she's not beautiful at all
"The villain is as beautiful as an angel in heaven. That is to say,"," he is beautiful in the eyes of the people of the world, but not in the eyes of God"
"The villain is as beautiful as an angel in heaven. That is to say,", he is beautiful
"The villain is as beautiful as an angel in heaven. That is to say,", she is as beautiful as a woman can be
"That boy has the sense of Einstein. That is to say,", he is stupid
"That boy has the sense of Einstein. That is to say,", he's a genius
"That boy has the sense of Einstein. That is to say,", he’s a genius
"That boy has the sense of Einstein. That is to say,", he doesn't have any sense at all
"It's as loud as the vacuum of space. That is to say,", it's very loud
"It's as loud as the vacuum of space. That is to say,", very quiet
"It's as loud as the vacuum of space. That is to say,", it's not loud at all
"It's as loud as the vacuum of space. That is to say,", it's not
"The businessman was as aggressive in negotiations as a lawyer. That is to say,", he was very aggressive
"The businessman was as aggressive in negotiations as a lawyer. That is to say,", he was a bully
"The businessman was as aggressive in negotiations as a lawyer. That is to say,", he was aggressive in the sense that he didn’t know when to stop
"The businessman was as aggressive in negotiations as a lawyer. That is to say,"," he was aggressive in his manner and in his speech, but not in his actions"
"The job is as easy as learning nuclear fission. That is to say,", it’s not
"The job is as easy as learning nuclear fission. That is to say,", it is not easy
"The job is as easy as learning nuclear fission. That is to say,", it is easy
"The job is as easy as learning nuclear fission. That is to say,", it is not easy at all
"The boy is a lumberjack. That is to say,", he is a woodcutter
"The boy is a lumberjack. That is to say,", he is a non-unionized worker who works with a chainsaw
"The boy is a lumberjack. That is to say,", he works in the woods
"The boy is a lumberjack. That is to say,", he works in the woods
"He has the attitude of the Grinch at Christmas. That is to say,"," he’s not a Scrooge, but he’s not a very happy person"
"He has the attitude of the Grinch at Christmas. That is to say,", he's a grouch
"He has the attitude of the Grinch at Christmas. That is to say,", he is a Grinch
"He has the attitude of the Grinch at Christmas. That is to say,", he is a grinch
"The car ride was as smooth as paper. That is to say,", it was pretty bumpy
"The car ride was as smooth as paper. That is to say,", it was bumpy and noisy
"The car ride was as smooth as paper. That is to say,", it was smooth as paper
"The car ride was as smooth as paper. That is to say,", it was horrible
"The teacher's grading policy was as flexible as an Olympic gymnast. That is to say,", it was all over the place
"The teacher's grading policy was as flexible as an Olympic gymnast. That is to say,", she had no grading policy
