startphrase,completion
"Vanity is the quicksand of reason.That is to say,"," the more we are absorbed in the contemplation of our own excellence, the less we have left over to notice what is actually going on around us"
"The conversation has me sweating like a snowman in the summer.That is to say,", I am sweating
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating a lot
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating a lot
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating a lot
"He's got the swimming ability of a spider in a bathtub.That is to say,", he's not very good at it
"He's got the swimming ability of a spider in a bathtub.That is to say,", he can't swim
"He's got the swimming ability of a spider in a bathtub.That is to say,", he can't swim at all
"He's got the swimming ability of a spider in a bathtub.That is to say,", he doesn't
"The man was had the strength of a sparrow.That is to say,", he was a weakling
"The man was had the strength of a sparrow.That is to say,", he was weak
"The man was had the strength of a sparrow.That is to say,", he was a very weak person
"The man was had the strength of a sparrow.That is to say,", he was weak
"Chromosomes are like a tapestry.That is to say,",they are made up of a long string of genes
"Chromosomes are like a tapestry.That is to say,", they are made up of a lot of threads
"Chromosomes are like a tapestry.That is to say,", they are the threads that make up the fabric of our DNA
"Chromosomes are like a tapestry.That is to say,", they are made up of threads
"The family was as rich as a king.That is to say,", they were rich
"The family was as rich as a king.That is to say,", they were very rich
"The family was as rich as a king.That is to say,", they had a lot of money
"The family was as rich as a king.That is to say,", they were very rich
"For the nation, their army was a a shield.That is to say,", the military was the nation's shield
"For the nation, their army was a a shield.That is to say,", it was a shield to protect the people
"For the nation, their army was a a shield.That is to say,", it was a shield that protected the nation from the invasion of foreign armies
"For the nation, their army was a a shield.That is to say,", it was a shield for the nation
"The actor has the fame of a Roman emperor.That is to say,", he is known to millions
"The actor has the fame of a Roman emperor.That is to say,", he is known all over the world
"The actor has the fame of a Roman emperor.That is to say,", he has the fame of a Roman emperor
"The actor has the fame of a Roman emperor.That is to say,", he is a star
"The pot roast was as tender as a warm doughnut.That is to say,"," it was tender, but it wasn't the kind of tender that you want to eat"
"The pot roast was as tender as a warm doughnut.That is to say,", it had been cooked to perfection
"The pot roast was as tender as a warm doughnut.That is to say,", it was tender
"The pot roast was as tender as a warm doughnut.That is to say,"," it was tender, but not in a good way"
"Her sight is as good as an eagle.That is to say,", she is a real eagle
"Her sight is as good as an eagle.That is to say,", she can see an object clearly at a distance of a mile and a half
"Her sight is as good as an eagle.That is to say,", she can see things from far away
"Her sight is as good as an eagle.That is to say,", her sight is as good as an eagle's
"The man is as sharp as a bowling ball.That is to say,", he's pretty sharp
"The man is as sharp as a bowling ball.That is to say,", he is not very sharp
"The man is as sharp as a bowling ball.That is to say,", he’s as sharp as a bowling ball with a few dents in it
"The man is as sharp as a bowling ball.That is to say,", he's very sharp
"His conversation sounds like a profound speaker.That is to say,", he has a way with words
"His conversation sounds like a profound speaker.That is to say,", he is a man of great wisdom
"His conversation sounds like a profound speaker.That is to say,", he is a great speaker
"His conversation sounds like a profound speaker.That is to say,"," he is a person who is not only good at talking, but also good at listening"
"School is a circus.That is to say,", it feels like a circus
"School is a circus.That is to say,", it is a place where the students are the animals and the teachers are the ringmasters
"School is a circus.That is to say,", it's a place where people go to watch a show
"School is a circus.That is to say,", it is a place where people come to watch the spectacle of other people's lives
"The family was as rich as a pile of dirt.That is to say,", they were rich
"The family was as rich as a pile of dirt.That is to say,", they were dirt poor
"The family was as rich as a pile of dirt.That is to say,", they were not rich at all
"The family was as rich as a pile of dirt.That is to say,", they were very rich
"The job is as easy as tying your shoes.That is to say,", it's not very hard
"The job is as easy as tying your shoes.That is to say,"," it is easy to do, but it is not easy to do well"
"The job is as easy as tying your shoes.That is to say,", it's not
"The job is as easy as tying your shoes.That is to say,", it is not easy at all
"For the nation, their army was a a sword.That is to say,", it was a weapon
"For the nation, their army was a a sword.That is to say,", they were a weapon to be used by the nation
"For the nation, their army was a a sword.That is to say,", the nation's army was a sword that killed the enemy
"For the nation, their army was a a sword.That is to say,", it was a sword that would cut down any enemy that stood in the way of the nation's prosperity
"The event planning hit several storms in the process.That is to say,", the event planning was not a smooth sailing
"The event planning hit several storms in the process.That is to say,", it was an event that was planned by the Japanese government
"The event planning hit several storms in the process.That is to say,", the event planning hit several snags
"The event planning hit several storms in the process.That is to say,", the event planning hit a few snags in the process
"The book plot was as straightforward as uncombed hair.That is to say,", it was a little hard to follow
"The book plot was as straightforward as uncombed hair.That is to say,"," it was tangled, but not in a good way"
"The book plot was as straightforward as uncombed hair.That is to say,", it was a tangled mess
"The book plot was as straightforward as uncombed hair.That is to say,", it was not
"Her sight is as good as a mole.That is to say,", she can see what a mole sees
"Her sight is as good as a mole.That is to say,"," she can see in the dark, but she can't see in the light"
"Her sight is as good as a mole.That is to say,", not very good
"Her sight is as good as a mole.That is to say,", she can see in the dark
"His abs were a wall.That is to say,", his stomach was a wall
"His abs were a wall.That is to say,", he was a wall
"His abs were a wall.That is to say,", he was a wall
"His abs were a wall.That is to say,", they were a wall
"It's as loud as a hurricane.That is to say,", it's loud enough to wake up anyone in the house
"It's as loud as a hurricane.That is to say,", it's loud
"It's as loud as a hurricane.That is to say,", it's a bit loud
"It's as loud as a hurricane.That is to say,", it's loud
"Chromosomes are like spaghetti.That is to say,"," they’re long, thin, and you can’t eat them"
"Chromosomes are like spaghetti.That is to say,"," they are long, thin strands of DNA that are coiled up inside each cell"
"Chromosomes are like spaghetti.That is to say,", they are long and thin
"Chromosomes are like spaghetti.That is to say,"," they are long, thin, and hard to break"
"The groom was feeling like a raindrop on a grave.That is to say,"," he was feeling like a raindrop on a grave, in a grave, and he was feeling like a raindrop on a grave, in a grave"
"The groom was feeling like a raindrop on a grave.That is to say,", he was feeling like a raindrop on a grave that had been freshly dug for his brother
"The groom was feeling like a raindrop on a grave.That is to say,", he was feeling like he was going to cry
"The groom was feeling like a raindrop on a grave.That is to say,", he was feeling sad
"he is as adventurous as a pioneer.That is to say,", he is not
"he is as adventurous as a pioneer.That is to say,", he is not averse to taking risks
"he is as adventurous as a pioneer.That is to say,", he is a coward
"he is as adventurous as a pioneer.That is to say,", he is not a pioneer
"The pillow was as soft as a cement slab.That is to say,", it was hard
"The pillow was as soft as a cement slab.That is to say,", it was soft
"The pillow was as soft as a cement slab.That is to say,", it was not soft at all
"The pillow was as soft as a cement slab.That is to say,", it was hard
"The pot roast was as tender as a boulder encased in concrete.That is to say,", it was as tender as a boulder encased in concrete
"The pot roast was as tender as a boulder encased in concrete.That is to say,", it was tough as hell
"The pot roast was as tender as a boulder encased in concrete.That is to say,"," it was tender, but it was also very, very hard"
"The pot roast was as tender as a boulder encased in concrete.That is to say,", it was tough and rubbery
"He has the nose of an elephant with a sinus infection.That is to say,", he has a big nose
"He has the nose of an elephant with a sinus infection.That is to say,", he smells everything
"He has the nose of an elephant with a sinus infection.That is to say,", he has a big honker
"He has the nose of an elephant with a sinus infection.That is to say,", he has a large nose
"The clothing has the smell of a crowded gym.That is to say,", it smells like a gym after a crowded workout
"The clothing has the smell of a crowded gym.That is to say,"," it's not a bad smell, but it's not a good smell either"
"The clothing has the smell of a crowded gym.That is to say,", it smells like the inside of a locker room
"The clothing has the smell of a crowded gym.That is to say,", it smells like a locker room
"The girl's facial expression was as clear as pea soup.That is to say,", she was angry
"The girl's facial expression was as clear as pea soup.That is to say,", she was extremely shocked
"The girl's facial expression was as clear as pea soup.That is to say,", she was very happy
"The girl's facial expression was as clear as pea soup.That is to say,", she was completely stunned
"Raising a puppy is doing laps in a warm pool.That is to say,", it is a lot of work
"Raising a puppy is doing laps in a warm pool.That is to say,", it's a lot of work
"Raising a puppy is doing laps in a warm pool.That is to say,", it's easy
"Raising a puppy is doing laps in a warm pool.That is to say,", it's easy
"His drive home was a party.That is to say,"," a drunken, drug-addled, sex-crazed party"
"His drive home was a party.That is to say,", it was a party for him
"His drive home was a party.That is to say,", it was a party if you were a cop
"His drive home was a party.That is to say,", he was a party
"His conversation sounds like a broken record.That is to say,", he has a tendency to repeat himself
"His conversation sounds like a broken record.That is to say,", he repeats himself a lot
"His conversation sounds like a broken record.That is to say,", he repeats himself a lot
"His conversation sounds like a broken record.That is to say,", it's the same thing over and over and over again
"The child has the energy of a cheetah.That is to say,", he is fast
"The child has the energy of a cheetah.That is to say,", he is always on the move
"The child has the energy of a cheetah.That is to say,", he is always on the move
"The child has the energy of a cheetah.That is to say,", he is very active
"The military is as organized as a chessboard.That is to say,", it is organized for the purpose of killing people
"The military is as organized as a chessboard.That is to say,","it is organized for attack,not for defence"
"The military is as organized as a chessboard.That is to say,", it is as organized as a game of chess would be if the pieces had minds of their own and if you could never be sure whether you had a
"The military is as organized as a chessboard.That is to say,", it is very much organized in a way that allows you to see the whole picture
"His abs were marshmallows.That is to say,", they were soft and squishy
"His abs were marshmallows.That is to say,", they were soft and squishy
"His abs were marshmallows.That is to say,", they were soft and squishy
"His abs were marshmallows.That is to say,", they were soft and squishy
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,"," it was the type of review that was written by someone who was not there, and had no idea what was going on"
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,"," it was a review that was not written by a critic, but by a mother who was angry at her son for going to a concert"
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,", it was a typical review
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,", it was a bit over the top
"A chemical reaction is like a ballroom dance.That is to say,"," it is a sequence of steps that take place in a specific order, and it is accompanied by a lot of intricate footwork"
"A chemical reaction is like a ballroom dance.That is to say,", it is a sequence of steps that are executed in a particular order
"A chemical reaction is like a ballroom dance.That is to say,", the partners are constantly changing partners
"A chemical reaction is like a ballroom dance.That is to say,", it is a sequence of steps
"He had funnels in his ears throughout the lecture.That is to say,", he had a pair of earphones in his ears and a pair of earphones in his lap
"He had funnels in his ears throughout the lecture.That is to say,", he had a hearing aid
"He had funnels in his ears throughout the lecture.That is to say,", he was listening to music through earphones
"He had funnels in his ears throughout the lecture.That is to say,", he was listening to music
"The groom was feeling like a pig in mud.That is to say,", he was feeling as happy as a pig in mud
"The groom was feeling like a pig in mud.That is to say,", he was feeling happy
"The groom was feeling like a pig in mud.That is to say,", he was feeling very happy
"The groom was feeling like a pig in mud.That is to say,", he was feeling very happy
"This dog is as aggressive as a cotton ball.That is to say,", not very aggressive at all
"This dog is as aggressive as a cotton ball.That is to say,", not very
"This dog is as aggressive as a cotton ball.That is to say,", not at all
"This dog is as aggressive as a cotton ball.That is to say,", not very
"The chair was a foundation.That is to say,", it was the foundation of the entire building
"The chair was a foundation.That is to say,", it was a place of stability
"The chair was a foundation.That is to say,", it was the foundation of the house
"The chair was a foundation.That is to say,", the chair was a foundation
"he is as adventurous as a sofa bed.That is to say,", he is not adventurous at all
"he is as adventurous as a sofa bed.That is to say,", he's not at all adventurous
"he is as adventurous as a sofa bed.That is to say,", not adventurous at all
"he is as adventurous as a sofa bed.That is to say,", he is not
"The girl's facial expression was as clear as a windowpane.That is to say,", it was completely transparent
"The girl's facial expression was as clear as a windowpane.That is to say,", she was shocked
"The girl's facial expression was as clear as a windowpane.That is to say,"," she was looking at the man with a face that said, ""You're lying"
"The girl's facial expression was as clear as a windowpane.That is to say,", it was completely transparent
"She had all the honesty of a sinner at confession.That is to say,", she lied
"She had all the honesty of a sinner at confession.That is to say,", she lied like a trooper
"She had all the honesty of a sinner at confession.That is to say,", she lied like a saint
"She had all the honesty of a sinner at confession.That is to say,", she lied like a gentleman
"The child has the heart of stone.That is to say,"," the child is cold-blooded, cruel, and unfeeling"
"The child has the heart of stone.That is to say,"," the child is cruel, without pity"
"The child has the heart of stone.That is to say,", the child is a stone
"The child has the heart of stone.That is to say,", he is a very cold and inhuman person who does not care about other people's feelings
"The ball is a pea.That is to say,", it is a pea
"The ball is a pea.That is to say,", it is a pea-sized ball
"The ball is a pea.That is to say,", the ball is a pea
"The ball is a pea.That is to say,", the ball is a pea
"The boy is as daring as a fawn.That is to say,", he is very timid
"The boy is as daring as a fawn.That is to say,", he is very timid
"The boy is as daring as a fawn.That is to say,", he is very timid
"The boy is as daring as a fawn.That is to say,", he is very timid
"His temper was a tempest.That is to say,", his temper was a thing that would not be controlled
"His temper was a tempest.That is to say,"," he was a man of violent passions, easily roused, and as easily calmed"
"His temper was a tempest.That is to say,", it was a very bad temper indeed
"His temper was a tempest.That is to say,"," he was a man of violent passions, which, however, he had the power of controlling"
"The man was as skinny as a broom.That is to say,", he was skinny as a broomstick
"The man was as skinny as a broom.That is to say,", he was as skinny as a broomstick
"The man was as skinny as a broom.That is to say,", he was very thin
"The man was as skinny as a broom.That is to say,", he was as skinny as a broomstick
"The conductor is a sculptor.That is to say,", he is a man who has learned to see
"The conductor is a sculptor.That is to say,", he's a sculptor of sound
"The conductor is a sculptor.That is to say,"," he is a man who works with a material that is more malleable than clay, more fluid than water, more yielding than wax"
"The conductor is a sculptor.That is to say,"," he has the ability to take a mass of material and shape it into a form that is beautiful, useful and functional"
"The villain is as beautiful as an angel in heaven.That is to say,", the villain is an angel
"The villain is as beautiful as an angel in heaven.That is to say,", the villain is as beautiful as an angel in heaven
"The villain is as beautiful as an angel in heaven.That is to say,", he is the most beautiful man in the world
"The villain is as beautiful as an angel in heaven.That is to say,", she is a beauty of the highest order
"That boy has the sense of Einstein.That is to say,", he is a genius
"That boy has the sense of Einstein.That is to say,", he has no sense at all
"That boy has the sense of Einstein.That is to say,", he is a genius
"That boy has the sense of Einstein.That is to say,", he has no sense at all
"It's as loud as the vacuum of space.That is to say,", it's loud
"It's as loud as the vacuum of space.That is to say,", it's loud
"It's as loud as the vacuum of space.That is to say,", it's not loud
"It's as loud as the vacuum of space.That is to say,", it's loud
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was aggressive
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was not
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was a bully
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was a bully
"The job is as easy as learning nuclear fission.That is to say,", it's a piece of cake
"The job is as easy as learning nuclear fission.That is to say,"," it is easy to learn, but it is hard to do"
"The job is as easy as learning nuclear fission.That is to say,", it's not easy at all
"The job is as easy as learning nuclear fission.That is to say,", it's not easy at all
"The boy is a lumberjack.That is to say,", he's a lumberjack in training
"The boy is a lumberjack.That is to say,", he is a boy who works in the lumberjack business
"The boy is a lumberjack.That is to say,", he works in a lumberyard
"The boy is a lumberjack.That is to say,", he is a boy who cuts down trees
"He has the attitude of the Grinch at Christmas.That is to say,", he has a heart of stone
"He has the attitude of the Grinch at Christmas.That is to say,", he's a jerk
"He has the attitude of the Grinch at Christmas.That is to say,", he is a Grinch
"He has the attitude of the Grinch at Christmas.That is to say,", he is a grump
"The car ride was as smooth as paper.That is to say,"," it was smooth, but not smooth"
"The car ride was as smooth as paper.That is to say,", it was smooth as the paper that was used to make the car
"The car ride was as smooth as paper.That is to say,", it was bumpy
"The car ride was as smooth as paper.That is to say,", it was smooth
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", she had no policy at all
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was nonexistent
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was nonexistent
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", not flexible at all
"The chair was a tilt-a-whirl.That is to say,", it was a chair on a tilt-a-whirl
"The chair was a tilt-a-whirl.That is to say,"," it was a chair that was tilted at an angle, and then spun around"
"The chair was a tilt-a-whirl.That is to say,", it was a chair that could spin
"The chair was a tilt-a-whirl.That is to say,", it spun around and around
"The boy is a ballerina.That is to say,", he is a boy who dances ballet
"The boy is a ballerina.That is to say,", he is a male dancer who specializes in ballet
"The boy is a ballerina.That is to say,", he is a boy who dances ballet
"The boy is a ballerina.That is to say,", he is a boy who dances ballet
"His drive home was a beatdown.That is to say,", he was beaten down
"His drive home was a beatdown.That is to say,", he was beaten down
"His drive home was a beatdown.That is to say,", the drive home was not a beatdown
"His drive home was a beatdown.That is to say,", he got beat down by his own mind
"The book's plot was as twisted as a soft pretzel.That is to say,", it was a pretzel
"The book's plot was as twisted as a soft pretzel.That is to say,", it made no sense at all
"The book's plot was as twisted as a soft pretzel.That is to say,", it was a pretzel
"The book's plot was as twisted as a soft pretzel.That is to say,", the plot was a pretzel
"His skill in writing was as sharp as a spoon.That is to say,", he was a great writer
"His skill in writing was as sharp as a spoon.That is to say,", he was a master of the art of writing
