startphrase,ending1,ending2,answer,notes
the pants were as torn as a drunk's liver,the pants were messed up,the pants were well put togther,0,
"In the sunlight, her hair was aflame",Her hair was red.,Her hair was blonde.,0,
The view was an witch's wart,The view was beautiful,The view was ugly,1,
"In the sunlight, her hair was woven gold",Her hair was red.,Her hair was blonde.,1,
That man has the laughter of booming thunder,It's a very loud and deep laugh,It's barely audible and high-pitched,0,
The cat was as angry as an anthill,the cat was mad,The cat was docile,1,
Life is a classroom,It is a learning experience,It is predisposed,0,
The girl found herself swimming in a sea of love.,The girl found herself overflowing with love.,The girl found herself surrounded by death.,0,
The new car drives like A powerful steed,The car is fast,The car is slow,0,
the pants were as torn as a sturdy ship,the pants were messed up,the pants were well put togther,1,
The song is as deep as A closet,The song is superficial,The song is heartfelt,0,
My colleague's project looked like the work of Einstein,My colleague's project is very rudimentary.,My colleague's project is very sophisticated.,1,
His anger was as visible as a meteor heading straight for earth,It was very clear that he was angry,His anger was very well hidden,0,
The light on the tree were as bright as a cave,The light was bright,The light was dark,1,
This actor has the dynamism of a parquet floor.,This actor is not dynamic.,This actor is extremely dynamic.,1,not sure what parquet is
Life is a God's will,It is a learning experience,It is predisposed,1,
This bag has the weight of a feather,The bag is heavy,The bag is light,1,
It was built like a castle,It was durable.,It was flimsy.,0,
The architect's building design was as inspiring as the Taj Mahal,The architect's building design was unoriginal,The architect's building design was a masterpiece,1,
The photography has the attractiveness of a concrete block.,The photography is unattractive.,The photography is very attractive.,0,
The ball is a worn out waistband.,The ball is bouncy.,The ball is not bouncy.,1,
Her commitment to the cause was as sturdy as plywood,She was committed,She was uncommitted,1,
Love is a heaven sent journey,It's purely finance,it's god like,1,
This bag has the weight of an elephant,The bag is heavy,The bag is light,1,
She was as sad as a hungry baby,She was sad,She was happy,0,
The photography has the attractiveness of a golden age Hollywood star.,The photography is unattractive.,The photography is very attractive.,1,
The math test was as simple as cooking a twelve-course Thanksgiving meal,The math test was a cinch.,The math test was very difficult.,1,
The football player has the agility of a mountain goat.,The football player is a klutz.,The football player is lithe.,1,
The view was a sparkly diamond,The view was beautiful,The view was ugly,0,
The disease has the seriousness of The common cold,The disease is not serious,The disease is very serious,0,
Legal professions are as appealing as discovering new life forms,Legal professions are tedious,Legal professions are exciting,1,
The boy was as innocent as a rabid wold,the boy was pure,the boy was evil,1,
The chemicals had the stability of melted ice cream,The chemicals were stable.,The chemicals were highly unstable.,1,
He's as country as Manhattan.,He's very country.,He's not very country at all.,1,
She was as sad as a child on Christmas morning.,She was sad,She was happy,1,
The toddler's cries were as loud as a library,The toddler's cries were loud.,The toddler's cries were quiet.,1,
The blanker provides the warmth of an open refrigerator,The blanket provides a lot of warmth,The blanket provides little warmth,1,
His ideas are the size of Eurasia,His ideas are large,His ideas are small,0,
He had the air of a church leader,People were intimidated by him,People were not intimidated by him,1,
"To the audience, Sara's speech was warm tea.","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",1,
The chocolate cake is as fluffy as cotton candy,The chocolate cake is light.,The chocolate cake is dense.,0,
The movie has the excitement of visiting a budget petting zoo,The movie is very exciting,The movie is pretty dull,1,
The girl had the speed of a fast-food line worker,The girl is fast.,The girl is slow.,0,
Her dress was the colors of antique book pages,Her dress was dully colored.,Her dress was brightly colored.,0,
Her waist has the width of a blimp,Her waist is really skinny.,Her waist is really wide.,0,"not sure what blimp is, maybe 0"
The sex was a ressurrection.,The sex was fantastic.,The sex was boring.,0,
It was built like a paper fort,It was durable.,It was flimsy.,1,
The math test was as simple as boiling pasta,The math test was a cinch.,The math test was very difficult.,0,
The man swinging the hammer has the strength of A mighty Abrams tank,The man is weak,The man is strong,1,
The song is as deep as the sea,The song is superficial,The song is heartfelt,1,
This football game is like a blue starfish.,This football game is full of action.,This football game is moving slowly.,1,
Legal professions are as appealing as counting sand grains on a beach,Legal professions are tedious,Legal professions are exciting,0,
Love is an economic exchange,It's purely finance,it's god like,0,
His anger was as visible as a piece of thin glass,It was very clear that he was angry,His anger was very well hidden,1,
The light on the tree were as bright as a searchlight,The light was bright,The light was dark,0,
The ball is a rubber band.,The ball is bouncy.,The ball is not bouncy.,0,
My life is a circus and I am the ringleader.,I am a freak,I control my life,1,
The poem was as romantic as a love-letter.,The poem was very sweet and romantic.,The poem wasn't romantic at all.,0,
The chemicals had the stability of steel,The chemicals were stable.,The chemicals were highly unstable.,0,
The amount of his deceit was the Pacific Ocean,The deceit was large,The deceit was small,0,
The new car drives like a donkey,The car is fast,The car is slow,1,
The girl's voice was as flat as sparkling water,The girl's voice was very bubbly.,The girl's voice was flat and monotonous.,0,
That person is as useful as a multi-tool.,The person's presence has no value.,The person is quite resourceful and helpful.,1,
He had the air of a cult leader,People were intimidated by him,People were not intimidated by him,0,
Her commitment to the cause was as sturdy as oak,She was committed,She was uncommitted,0,
The poem was as romantic as divorce papers.,The poem was very sweet and romantic.,The poem wasn't romantic at all.,1,
This life is a merry-go-round,This life is a crazy place to live in.,"This life is filled with good and bad things, happy and sad moments.",1,
Her voice is a cat scratching a chalkboard,Her voice is terrible,Her voice is lovely,0,
The man swinging the hammer has the strength of A three-year-old child,The man is weak,The man is strong,0,
That person is as useful as a DVD rewinder.,The person's presence has no value.,The person is quite resourceful and helpful.,0,
"He has the unconsciousness of an unborn, sleeping baby",He's completely unconscious,He's extremely conscious,0,
The pilot flew like a ballet dancer,The pilot flew in a restrained way,The pilot flew in a creative way,0,
"The movie has the excitement of outrunning a giant, flaming boulder",The movie is very exciting,The movie is pretty dull,0,
The girl's voice was as flat as tap water,The girl's voice was very bubbly.,The girl's voice was flat and monotonous.,1,
The sex was a dead-on-arrival.,The sex was fantastic.,The sex was boring.,1,
He's as country as Texas.,He's very country.,He's not very country at all.,0,
The pilot flew like a modern dancer,The pilot flew in a restrained way,The pilot flew in a creative way,1,
The flea medication is an unplugged coffee maker.,The flea medication is ineffective.,The flea medication is efficacious.,0,
His ideas are the size of an anteater's dinner,His ideas are large,His ideas are small,1,
My life is a circus and I am the freak show,I am a freak,I control my life,0,
The girl found herself swimming in a sea of ghosts.,The girl found herself overflowing with love.,The girl found herself surrounded by death.,1,
This football game is like a Rambo movie.,This football game is full of action.,This football game is moving slowly.,0,
The inflation rate these days is a horse running out of a stable,Inflation has gotten out of control.,Inflation is under control.,0,
The amount of his deceit was a grain of sand,The deceit was large,The deceit was small,1,
Her voice is music to my ears,Her voice is terrible,Her voice is lovely,1,
The disease has the seriousness of A terminal illness,The disease is not serious,The disease is very serious,1,
Her dress was the colors of a neon bar sign,Her dress was dully colored.,Her dress was brightly colored.,1,
The toddler's cries were as loud as a fire alarm,The toddler's cries were loud.,The toddler's cries were quiet.,0,
The architect's building design was as inspiring as a Soviet apartment block,The architect's building design was unoriginal,The architect's building design was a masterpiece,0,
