HITId,AssignmentId,startphrase,ending1,ending2,labels,valid
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3TPZPLC3M1MZ9E5P5PPBB5BCOM2P37,This is the birth,This is the end.,This is the beginning.,1,0
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3TPZPLC3M1MZ9E5P5PPBB5BCOM2P37,Her skin milk,Her skin a healthy/fresh white.,Her skin an unhealthy white.,0,0
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3TPZPLC3M1MZ9E5P5PPBB5BCOM2P37,Her skin paste,Her skin a healthy/fresh white.,Her skin an unhealthy white.,1,0
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3QBD8R3Z22T26ACSQ3HFWAYSSHBO4J,Shopping for groceries is finding shells on a sunny beach,"Shopping for groceries is a fun, rewarding chore","Shopping for groceries is a crazy, nearly impossible chore",0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3QBD8R3Z22T26ACSQ3HFWAYSSHBO4J,Shopping for groceries is a scavenger hunt with a list created by a lunatic,"Shopping for groceries is a fun, rewarding chore","Shopping for groceries is a crazy, nearly impossible chore",1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3QBD8R3Z22T26ACSQ3HFWAYSSHBO4J,World peace is a perfect snowflake that melts before it reaches you,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3QBD8R3Z22T26ACSQ3HFWAYSSHBO4J,World peace is a family dinner where no one fights,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3QBD8R3Z22T26ACSQ3HFWAYSSHBO4J,War is an amputation on the wrong limb,War is the wrong solution to a problem,War is a necessary solution,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3QBD8R3Z22T26ACSQ3HFWAYSSHBO4J,War is an amputation to save your life,War is the wrong solution to a problem,War is a necessary solution,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,Her greeting had the warmth of a cozy wood burning fire.,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,Her greeting had the warmth of a snuffed out candle.,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,Her word had the strength of titanium.,Her promises can be believed.,Her promises cannot be trusted.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,Her word had the strength of a wine glass.,Her promises can be believed.,Her promises cannot be trusted.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,It's as green as grass in the spring,It's fairy green,It's not too green,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,It's as green as grass during a hot summer,It's fairy green,It's not too green,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,This is as peaceful as a sleeping puppy,It's very peaceful,It's not very peaceful,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,This is as peaceful as European in the '40s,It's very peaceful,It's not very peaceful,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3HYA4D452STYXJKCNMF1G1SGG78F2M,The music was loud like a siren.,The music was very loud.,The music was very quiet.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3HYA4D452STYXJKCNMF1G1SGG78F2M,The music was loud like a whisper.,The music was very loud.,The music was very quiet.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3HYA4D452STYXJKCNMF1G1SGG78F2M,The test was like a litigation.,The test was hard.,The test was easy.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3HYA4D452STYXJKCNMF1G1SGG78F2M,The test was like a preschool lesson.,The test was hard.,The test was easy.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3HYA4D452STYXJKCNMF1G1SGG78F2M,Jobs are as available as a marriage man.,Jobs are not available.,Jobs are very available.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3HYA4D452STYXJKCNMF1G1SGG78F2M,Jobs are as available as a bachelor.,Jobs are not available.,Jobs are very available.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3T111IHZ5F060TAKZQUA7DEDP249RG,Peace is a human flying,Peace is impossible,Peace is possible,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3T111IHZ5F060TAKZQUA7DEDP249RG,Peace is a human walking,Peace is impossible,Peace is possible,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3T111IHZ5F060TAKZQUA7DEDP249RG,Plants are a lullaby,Plants are calming,Plants are disturbing,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3T111IHZ5F060TAKZQUA7DEDP249RG,Plants are a loud drum,Plants are calming,Plants are disturbing,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3T111IHZ5F060TAKZQUA7DEDP249RG,The view was a sparkly diamond,The view was beautiful,The view was ugly,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3T111IHZ5F060TAKZQUA7DEDP249RG,The view was an witch's wart,The view was beautiful,The view was ugly,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The car was as ugly as a one eyed rat,it was hideous,it was beautiful,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The car was as ugly as a swan,it was hideous,it was beautiful,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The dog was as grumpy as an old man,he was mean,he was nice,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The man was as handsome as a prince,he was good looking,he was ugly,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The man was as handsome as a hobo,he was good looking,he was ugly,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,The voyage was as long as a lifetime,The voyage was very long,The voyage as short.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,The voyage was as long as the blink of an eye,The voyage was very long,The voyage as short.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,The conversation was sharp as a tack,The conversation was sharp and witty.,The conversation was dull and not sharp.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,The conversation was sharp as a rock,The conversation was sharp and witty.,The conversation was dull and not sharp.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,He had all the wealth of a tycoon,He was rich.,He was poor.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,He had all the wealth of a hobo,He was rich.,He was poor.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3LUY3GC630AHAX6C71S1OMNSTOY7P4,He marches to his own drummer,He has his own way of doing things.,He has his own way of going about thing.,0,0
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3LUY3GC630AHAX6C71S1OMNSTOY7P4,He marches to his own beat,He has his own way of doing things.,He has his own way of going about thing.,1,0
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3LUY3GC630AHAX6C71S1OMNSTOY7P4,Splitting hairs,Paying too much attention,Worrying over small things,0,0
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3LUY3GC630AHAX6C71S1OMNSTOY7P4,Splitting teeth,Paying too much attention,Worrying over small things,1,0
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3LUY3GC630AHAX6C71S1OMNSTOY7P4,I am nitpicking,Bringing attention to tiny faults.,Pointing out faults in others.,0,0
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3LUY3GC630AHAX6C71S1OMNSTOY7P4,I am stressing,Bringing attention to tiny faults.,Pointing out faults in others.,1,0
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3JWH6J9I9TN49OXP43RPPZ4TCZUBN4,He ate it like a fat boy eats cake,The food was tasty to him,The food was unpalatable to him,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3JWH6J9I9TN49OXP43RPPZ4TCZUBN4,He ate it like a young boy eats broccoli,The food was tasty to him,The food was unpalatable to him,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3JWH6J9I9TN49OXP43RPPZ4TCZUBN4,He picked it up like a mother holding a baby,He held it with pride and care,He held it with disgust and caution,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3JWH6J9I9TN49OXP43RPPZ4TCZUBN4,He picked it up like a playboy holding a condom,He held it with pride and care,He held it with disgust and caution,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3JWH6J9I9TN49OXP43RPPZ4TCZUBN4,He rushed through the math test like an ape,He rushed because he is dumb,He rushed because he is smart,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3JWH6J9I9TN49OXP43RPPZ4TCZUBN4,He rushed through the math test like a rocket scientist,He rushed because he is dumb,He rushed because he is smart,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,He's as rich as MC Hammer in the '80s,He has a lot of money,He does not have a lot of money,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,He's as rich as MC Hammer in the '90s,He has a lot of money,He does not have a lot of money,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,The conversation has me sweating like a snowman in the summer,The conversation is intense,The conversation is boring,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,The conversation has me feeling like I just ate the whole Thanksgiving turkey,The conversation is intense,The conversation is boring,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The conversation is a 25 cent off coupon,The conversation is worthwhile.,The conversation is meaningless.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The football player's effort was a hurricane,The football player put forth a ton of effort.,The football player put forth no effort.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The football player's effort was a tortoise,The football player put forth a ton of effort.,The football player put forth no effort.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,Money is a helpful stranger,Money is good,Money is bad,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,Money is a murderer,Money is good,Money is bad,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The conversation was a cigarette break,The conversation was long,The conversation was short,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The seas on the voyage were glass,The seas were calm,The seas were rough,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The cat was as healthy as a newborn,the cat was in good shape,the cat was in bad shape,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The cat was as healthy as a cancer patient,the cat was in good shape,the cat was in bad shape,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The student was as helpful as medicine,he was a big help,he was not needed,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The student was as helpful as a punch in the face,he was a big help,he was not needed,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The bear was as hungry as a lion,it was starving,it didn't need food,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The bear was as hungry as a piece of paper,it was starving,it didn't need food,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,Her waist has the width of a toothpick,Her waist is really skinny.,Her waist is really wide.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,Her waist has the width of a blimp,Her waist is really skinny.,Her waist is really wide.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,That conversation had the ease of doing your taxes blindfolded.,Having that conversation was difficult,Having that conversation was easy.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,That conversation had the ease of a Sunday morning.,Having that conversation was difficult,Having that conversation was easy.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,Their conversations were artillery bombardments.,Their conversations were heated and antagonistic.,Their conversations were friendly.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,Their conversations were a hug with words.,Their conversations were heated and antagonistic.,Their conversations were friendly.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,1,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,"For him, earning money was oxygen.",Making money kept him alive.,Making money was killing him.,0,1
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,"For him, earning money was a rope around his neck.",Making money kept him alive.,Making money was killing him.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The story was as disturbing as a nightmare,The story was very disturbing.,"The story failed to be disturbing, and in fact seemed cute.",0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The story was as disturbing as a newborn puppy,The story was very disturbing.,"The story failed to be disturbing, and in fact seemed cute.",1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,Their expectations of the house they could afford turned into melted ice.,Their expectations were not met.,Their expectations were exceeded.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,Their expectations of the house they could afford leapt past the second story.,Their expectations were not met.,Their expectations were exceeded.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,Those that heard the child sing were carried away on gentle waves.,Those that heard the singing were pleasantly entertained.,Those that heard the singing were unpleasantly inundated.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,Those that heard the child sing were tortured by the intruding notes.,Those that heard the singing were pleasantly entertained.,Those that heard the singing were unpleasantly inundated.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,She sings like an angel,her voice is magical,her voice is awful,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,She sings like a bullfrog,her voice is magical,her voice is awful,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,the pizza tastes like homemade,it's delicious,it's garbage,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3EKVH9QMEZE1ZZ6GWGKBS1PV4P02DW,HIs opinions were as firm as concrete,He was very certain of his opinion,He was very uncertain of his opinion,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3EKVH9QMEZE1ZZ6GWGKBS1PV4P02DW,HIs opinions were as firm as a cotton ball,He was very certain of his opinion,He was very uncertain of his opinion,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3EKVH9QMEZE1ZZ6GWGKBS1PV4P02DW,The pilot landed the plane like he was handling a new born baby.,The landing was smooth and gentle,The landing was bumpy and rough,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3EKVH9QMEZE1ZZ6GWGKBS1PV4P02DW,The pilot landed the plane like it was on a roller coaster.,The landing was smooth and gentle,The landing was bumpy and rough,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3EKVH9QMEZE1ZZ6GWGKBS1PV4P02DW,The soccer player passed the ball to his teammate like a magician pulling a rabbit out of a hat.,The pass was surprising,The pass was very fast and direct,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3EKVH9QMEZE1ZZ6GWGKBS1PV4P02DW,The soccer player passed the ball to his teammate like the bullet train in Japan.,The pass was surprising,The pass was very fast and direct,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3PJ71Z61R5CI7OB31WFV1MW0LYI198,Go back to the drawing board,To start over again,Go back to the very beginning.,0,0
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3PJ71Z61R5CI7OB31WFV1MW0LYI198,Go back to the starting line,To start over again,Go back to the very beginning.,1,0
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3PJ71Z61R5CI7OB31WFV1MW0LYI198,Cut me some slack,Be more forgiving of my errors,Be more forgiving of my faults,0,0
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3PJ71Z61R5CI7OB31WFV1MW0LYI198,Cut me some rope,Be more forgiving of my errors,Be more forgiving of my faults,1,0
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3PJ71Z61R5CI7OB31WFV1MW0LYI198,To get out of hand,To become out of control,To lose control of a situation,0,0
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3PJ71Z61R5CI7OB31WFV1MW0LYI198,To get out of lane,To become out of control,To lose control of a situation,1,0
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The man's personality is like a Beanie Baby,The man has a soft personality.,The man has a hard personality.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The man's personality is like a drill sergeant,The man has a soft personality.,The man has a hard personality.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The movie was really creative.,0,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The painting had the creativity of a James Cameron movie,The movie was really dull.,The movie was really creative.,1,1
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The girl's dress pattern was as uniform as a potluck,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,0,1
