startphrase,ending1,ending2,labels,valid,qid
"When it comes to running, I'm practically a cheetah.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",0,1,1280
"When it comes to running, I'm practically a turtle.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",1,1,1280
The plot was as intricate as a Set of kid's blocks,The plot was simple,The plot was complicated,0,1,1402
The plot was as intricate as a The parts of a precision timepiece,The plot was simple,The plot was complicated,1,1,1402
this cake tastes like dirt,this cake is very bad,this cake is very good,0,1,1417
this cake tastes like heaven,this cake is very bad,this cake is very good,1,1,1417
"Compared to their competitors' tech, this prototype looks like it has been made by a dinosaur",The prototype is fundamentally simple and thus too basic.,The prototype is incredibly advanced compared to other similar products on the market.,0,1,1526
"Compared to their competitors' tech, this prototype looks like it has come from 4021",The prototype is fundamentally simple and thus too basic.,The prototype is incredibly advanced compared to other similar products on the market.,1,1,1526
The pizza tastes like a cardboard box,The pizza is stale.,The pizza is delicious.,0,1,1641
The pizza tastes like a Thanksgiving dinner,The pizza is stale.,The pizza is delicious.,1,1,1641
Walking through the snow was like going through concrete,The snow was heavy,The snow was light and airy,0,1,1709
Walking through the snow was like stepping in fresh powder,The snow was heavy,The snow was light and airy,1,1,1709
The sun in the newly discovered solar system had the power of A 2 watt light bulb,The sun in the newly discovered solar system is weak,The sun in the newly discovered solar system is powerful and bright,0,1,X20
The sun in the newly discovered solar system had the power of A thousand stars going supernova,The sun in the newly discovered solar system is weak,The sun in the newly discovered solar system is powerful and bright,1,1,X20
The new coronavirus variant has the spread rate of a flu in a kindergarten class,The spread is very contagious,The spread is not that contagious,0,1,X103
The new coronavirus variant has the spread rate of rabies,The spread is very contagious,The spread is not that contagious,1,1,X103
This car has the engine of a lawn mower.,This car has a small engine.,This car has a powerful engine.,0,1,X117
This car has the engine of a F-15 fighter jet.,This car has a small engine.,This car has a powerful engine.,1,1,X117
Your dress is shiny as a quarter that just went through the washing machine,Your dress is totally dull,Your dress is brilliantly shiny,0,1,X165
Your dress is shiny as a new car in the early afternoon sun,Your dress is totally dull,Your dress is brilliantly shiny,1,1,X165
The concert was as crowded as a rush-hour train,The concert was crowded,The concert was not crowded,0,1,X213
The concert was as crowded as a mausoleum,The concert was crowded,The concert was not crowded,1,1,X213
The child was as fussy as a backyard BBQ,The child was very laidback.,The child was very fussy.,0,1,X239
The child was as fussy as a black tie wedding,The child was very laidback.,The child was very fussy.,1,1,X239
The soup is lava,The soup is hot.,The soup is cold.,0,1,X262
The soup is ice,The soup is hot.,The soup is cold.,1,1,X262
It was dirty like a pond.,It was very dirty.,It was clean.,0,1,X280
It was dirty like a bottled water.,It was very dirty.,It was clean.,1,1,X280
The pool was as as clean as a pig sty,The pool was dirty,The pool was clean,0,1,X309
The pool was as as clean as a house showing,The pool was dirty,The pool was clean,1,1,X309
My goal is fruitfull like an apple grove,I am reaching my goal,I am not reaching my goal,0,1,X361
My goal is fruitfull like a dead tree,I am reaching my goal,I am not reaching my goal,1,1,X361
The moon is A boulder in the sky,The moon is huge,The moon is tiny,0,1,X406
The moon is A pebble in the sky,The moon is huge,The moon is tiny,1,1,X406
Her status was as up in the air as the stock market,it was not sure,it was definite,0,1,X423
Her status was as up in the air as the sun rising,it was not sure,it was definite,1,1,X423
His status was as high as a bathroom attendant,His status was not high,His status was high,0,1,X429
His status was as high as the King of England,His status was not high,His status was high,1,1,X429
Sleeping over at his house is like spending a night at the Waldorf Astoria.,He has very nice accommodations.,He has below average accommodations.,0,1,X544
Sleeping over at his house is like spending a night at the Motel 6.,He has very nice accommodations.,He has below average accommodations.,1,1,X544
"When she waits on you, she'll make you feel like the Sultan of Brunei.Ask him tio",She provides good service.,She provides bad service.,0,1,X545
"When she waits on you, she'll make you feel like she's doing you a favor.",She provides good service.,She provides bad service.,1,1,X545
The magician was as colorful as a peacock's fan of feathers.,The magician had a lot of personality.,"The magician was dull, lacked character.",0,1,X628
The magician was as colorful as a flight of pigeons.,The magician had a lot of personality.,"The magician was dull, lacked character.",1,1,X628
life has a various chances for prove our self,chances never come again,we use all the chances,0,1,X657
life has a various chances and our talent,chances never come again,we use all the chances,1,1,X657
He liked the gym as much as a case of the measles,He did not like the gym,He liked the gym,0,1,X693
He liked the gym as much as a warm caress,He did not like the gym,He liked the gym,1,1,X693
This breeze is refrigirating me.,The breeze is freezing cold.,This breeze is very hot.,0,1,X732
This breeze is baking me.,The breeze is freezing cold.,This breeze is very hot.,1,1,X732
The container has rock's resistance.,Container is very hard and strong.,Container is weak.,0,1,X755
The container has tissue's strength.,Container is very hard and strong.,Container is weak.,1,1,X755
The man had the strength of a bear,The man is very strong,The man is pitifully weak,0,1,X901
The man had the strength of a kitten,The man is very strong,The man is pitifully weak,1,1,X901
They would follow him anywhere,They completely trusted him,They resisted trusting him at all,0,1,X1071
They would follow him nowhere,They completely trusted him,They resisted trusting him at all,1,1,X1071
That girl has the hotness of a Victoria Secret model.,The girl is pretty.,The girl is ugly.,0,1,X1134
That girl has the hotness of a babushka.,The girl is pretty.,The girl is ugly.,1,1,X1134
The bread was as hard as concrete,it was very hard,it was soft,0,1,X1143
The bread was as hard as a pillow,it was very hard,it was soft,1,1,X1143
It was therapeutic like a freight train.,It wasn't therapeutic.,It was very therapeutic.,0,1,X1183
It was therapeutic like a song.,It wasn't therapeutic.,It was very therapeutic.,1,1,X1183
To him the lady's heart was like A freezing cold snowy day.,The lady's heart was cruel and unfeeling,The lady's heart was soft when you get past the hard shell.,0,1,X1212
To him the lady's heart was like A hard shell and a soft center.,The lady's heart was cruel and unfeeling,The lady's heart was soft when you get past the hard shell.,1,1,X1212
The insects work together like the offensive line for the Green Bay Packers,They move as unit to accomplish the shared goal,They interfere with each other,0,1,X1238
The insects work together like two siblings fighting for their mother's attention,They move as unit to accomplish the shared goal,They interfere with each other,1,1,X1238
They were as close as Trump and Biden,They were not close,They were close,0,1,X1356
They were as close as an apple and its stem,They were not close,They were close,1,1,X1356
The painting  has the creativity of Rembrandt and Picasso getting their paintings married,The painting is really amazing and well done,The painting is poorly done,0,1,X1366
The painting  has the creativity of a skunk peeing,The painting is really amazing and well done,The painting is poorly done,1,1,X1366
His bones have the strength of a titanium rod,His bones are strong and durable,His bones are weak and easy to break,0,1,X1377
His bones have the strength of a chopsticks,His bones are strong and durable,His bones are weak and easy to break,1,1,X1377
The man has the friendliness of A dog,The man is very friendly,The man is very mean,0,1,X1474
The man has the friendliness of A lion,The man is very friendly,The man is very mean,1,1,X1474
The day went by like a tax season.,The day was long.,The day was short.,0,1,X1630
The day went by like a holiday.,The day was long.,The day was short.,1,1,X1630
My wife is my sunshine,My wife brightens my every action,My wife covers entire life and is suffocating,0,1,X1645
My wife is my cloche,My wife brightens my every action,My wife covers entire life and is suffocating,1,1,X1645
The woman had the height of an ostrich wearing platform boots on stilts,The woman was very tall,The woman was very short,0,1,X1711
The woman had the height of a baby dwarf,The woman was very tall,The woman was very short,1,1,X1711
The bird's morning song is as soothing as Someone's nails on a chalkboard,The bird's morning song is not soothing and is annoying,The bird's morning song is beautiful and melodic,0,1,X1789
The bird's morning song is as soothing as A symphony by Bach,The bird's morning song is not soothing and is annoying,The bird's morning song is beautiful and melodic,1,1,X1789
The guy has the emotional depth of a swimming pool,He is emotionally shallow,He is emotionally deep,0,1,X1848
The guy has the emotional depth of the ocean,He is emotionally shallow,He is emotionally deep,1,1,X1848
The speech had all the power of a bolt of lightning.,The speech was engaging and provoking.,The speech was uninteresting and dull.,0,1,X1877
The speech had all the power of a static shock.,The speech was engaging and provoking.,The speech was uninteresting and dull.,1,1,X1877
Her eyes were pools of light,She looked approachable/attractive,She looked hostile/angry,0,1,X1903
Her eyes were chips of stone,She looked approachable/attractive,She looked hostile/angry,1,1,X1903
The plot of the movie was as thin as an anorexic person,The plot of the movie was thin,The plot of the movie was complex,0,1,X1916
The plot of the movie was as thin as the way an anorexic person sees themselves,The plot of the movie was thin,The plot of the movie was complex,1,1,X1916
The pimple was as big as a Bus,The pimple is bigger than normal,The pimple is tiny.,0,1,X1943
The pimple was as big as a Microbe,The pimple is bigger than normal,The pimple is tiny.,1,1,X1943
I have the dexterity of spiderman,I have good dexterity,I have bad dexterity,0,1,X2039
I have the dexterity of a new born deer,I have good dexterity,I have bad dexterity,1,1,X2039
The lessons we learn are keys to imagination,The lessons we learn open doors to future success,The lessons we learn can sometimes strike fear and prevent movement,0,1,X2095
The lessons we learn are border guards,The lessons we learn open doors to future success,The lessons we learn can sometimes strike fear and prevent movement,1,1,X2095
Their cause has the momentum of a snowflake,The cause has no support,The cause has massive support,0,1,X2139
Their cause has the momentum of an avalanche,The cause has no support,The cause has massive support,1,1,X2139
The man's photography has the professionalism of A child's finger painting,The man's photography is not professional and amateurish,The man's photography is very professional and artistic,0,1,X2169
The man's photography has the professionalism of Ansel Adams on steroids.,The man's photography is not professional and amateurish,The man's photography is very professional and artistic,1,1,X2169
He's as dangerous as a rattlesnake,He is dangerous,He is not dangerous,0,1,X2175
He's as dangerous as a butterfly,He is dangerous,He is not dangerous,1,1,X2175
He's got muscles like a weightlifter,He's muscular,He's not muscular,0,1,X2186
He's got muscles like a jellyfish,He's muscular,He's not muscular,1,1,X2186
The puzzle was as complicated as rocket science,The puzzle was difficult,The puzzle was easy,0,1,X2221
The puzzle was as complicated as the alphabet,The puzzle was difficult,The puzzle was easy,1,1,X2221
"Seeing the old juke box was like visiting a nasty, useless junkyard",Seeing the old juke box was an eye sore.,Seeing the old juke box was a reminder of older times.,0,1,X2234
Seeing the old juke box was like a key that opens a door of old memories.,Seeing the old juke box was an eye sore.,Seeing the old juke box was a reminder of older times.,1,1,X2234
The girl's ego has the strength of spider silk,The girl has a strong ego.,The girl has a fragile ego.,0,1,X2246
The girl's ego has the strength of a glass flute,The girl has a strong ego.,The girl has a fragile ego.,1,1,X2246
The woman's breasts are planets,Her boobs are huge.,Her boobs are tiny.,0,1,X2275
The woman's breasts are grapes,Her boobs are huge.,Her boobs are tiny.,1,1,X2275
The book's plot is as straightforward as a grocery list,The book's plot is really straightforward.,The book's plot is really complicated.,0,1,X2286
The book's plot is as straightforward as geometry homework,The book's plot is really straightforward.,The book's plot is really complicated.,1,1,X2286
The apartment was a hamster cage,the apartment was small,the apartment was huge,0,1,X2299
The apartment was an Empire State Building,the apartment was small,the apartment was huge,1,1,X2299
It was old like dust.,It was very old.,It wasn't old.,0,1,X2379
It was old like a baby.,It was very old.,It wasn't old.,1,1,X2379
His philosophy was as complicated as a children's book,His philosophy was not complicated,His philosophy was complicated,0,1,X2411
"His philosophy was as complicated as a 10,000 piece jigsaw puzzle",His philosophy was not complicated,His philosophy was complicated,1,1,X2411
The blade had the sharpness of A well-dressed man,The blade was very sharp,The blade was not sharp at all.,0,1,X2430
The blade had the sharpness of Silly putty,The blade was very sharp,The blade was not sharp at all.,1,1,X2430
"The phone number was easy to remember as 1,2,3",The phone number was easy to remember,The phone number was so complex,0,1,X2471
The phone number was easy to remember as a 100 number password,The phone number was easy to remember,The phone number was so complex,1,1,X2471
The boy's legs were as sturdy as vanilla pudding,The boy's legs were very shaky.,The boy's legs were very sturdy.,0,1,X2501
The boy's legs were as sturdy as steel beams,The boy's legs were very shaky.,The boy's legs were very sturdy.,1,1,X2501
The argument is as harmless as a pillow fight,The argument is harmless.,The argument is harmful.,0,1,X2502
The argument is as harmless as a terrorist attack,The argument is harmless.,The argument is harmful.,1,1,X2502
It lasts as long as Graffiti,It lasts a long time,It doesnt last very long,0,1,X2533
It lasts as long as A pair of white tennis shoes,It lasts a long time,It doesnt last very long,1,1,X2533
The fighter was as tired as a mother at the end of the day,he was ready to pass out,he was full of energy,0,1,X2590
The fighter was as tired as a dog on a car ride,he was ready to pass out,he was full of energy,1,1,X2590
The stream of thoughts flowing through her head in her unconscious state was like The highest fiber optic internet.,Her mind was fast and clear,Her mind was slow and clunky.,0,1,X2594
The stream of thoughts flowing through her head in her unconscious state was like Dial up with aol.,Her mind was fast and clear,Her mind was slow and clunky.,1,1,X2594
It's enough to make an atheist praise God,It's enough to make anyone very happy,It's enough to make anyone very mad,0,1,X2629
It's enough to make a preacher cuss,It's enough to make anyone very happy,It's enough to make anyone very mad,1,1,X2629
The woman was as shy as a toddler on the first day of preschool,the woman was bashful,the woman was confident,0,1,X2661
The woman was as shy as a lawyer on a huge case,the woman was bashful,the woman was confident,1,1,X2661
The apprentice had The reflexes of a cat,The apprentice was agile,The apprentice was a brute,0,1,X2683
The apprentice had The grace of a hippo,The apprentice was agile,The apprentice was a brute,1,1,X2683
Love is a poppy field,Love is beautiful,Love is war,0,1,X2689
Love is a battlefield,Love is beautiful,Love is war,1,1,X2689
The new song sounded as melodic as a cat with its tail caught in a mousetrap.,The new song did not sound melodic.,The new song sounded beautifully melodic.,0,1,X2724
The new song sounded as melodic as wind chimes under the direction of heaven's own choir.,The new song did not sound melodic.,The new song sounded beautifully melodic.,1,1,X2724
He was social like a dog.,He was very social.,He was antisocial.,0,1,X2791
He was social like a cat.,He was very social.,He was antisocial.,1,1,X2791
Her hair was as soft to the touch as Dandelion fuzz,The hair was soft,The hair was rough,0,1,X2812
Her hair was as soft to the touch as Running your hands over thorns on branches,The hair was soft,The hair was rough,1,1,X2812
I have the discipline of a teenage delinquent,I am not disciplined at all,I am very disciplined,0,1,X2976
I have the discipline of a Tibetan monk,I am not disciplined at all,I am very disciplined,1,1,X2976
The house is as small as a New York City bathroom,The house is very small,The house is very large,0,1,X2977
The house is as small as a high school gymnasium,The house is very small,The house is very large,1,1,X2977
the song makes him see the light,The song brings hope,The song brings memories of pain.,0,1,X2990
the song makes him wander in dark,The song brings hope,The song brings memories of pain.,1,1,X2990
the salesman was a smooth as sand paper,The salesman was bad at his job,The salesman was good at his job,0,1,X3018
the salesman was a smooth as silk,The salesman was bad at his job,The salesman was good at his job,1,1,X3018
the oak's tree shade was the largest umbrella ever,The oak tree provided a lot of shade,The oak tree barely provided any shade,0,1,X3049
the oak's tree shade was the smallest umbrella ever,The oak tree provided a lot of shade,The oak tree barely provided any shade,1,1,X3049
her morals were as strong as a knight in armor,She had strong morals,She had weak morals,0,1,X3083
her morals were as strong as a wet piece of paper,She had strong morals,She had weak morals,1,1,X3083
the stove got as hot as a polar vortex,The stove did not get hot.,The stove got very hot.,0,1,X3096
the stove got as hot as the sun,The stove did not get hot.,The stove got very hot.,1,1,X3096
the computer is as fast as a cheetah,The computer is fast,The computer is slow,0,1,X3109
the computer is as fast as molasses,The computer is fast,The computer is slow,1,1,X3109
the baby's skin was smooth as a bald man's freshly waxed head,The baby had smooth skin,The baby's skin was not smooth,0,1,X3120
the baby's skin was smooth as a bald man's unshaven beard,The baby had smooth skin,The baby's skin was not smooth,1,1,X3120
the flower is as beautiful as a bride on her wedding day,The flower is beautiful,The flower is ugly,0,1,X3163
the flower is as beautiful as frankenstein's monster,The flower is beautiful,The flower is ugly,1,1,X3163
the child's brain is as fast as a supercomputer,The child is smart,The child is dumb,0,1,X3179
the child's brain is as fast as a an abacus,The child is smart,The child is dumb,1,1,X3179
the bear was the size of a whale after eating a smaller whale,The bear was very big,The bear was pretty small,0,1,X3180
"the bear was the size of the earth in the ""pale blue dot"" photo",The bear was very big,The bear was pretty small,1,1,X3180
