startphrase,ending1,ending2,label,valid
the use of a keyboard characters to represent a facial expression,keyboard characters are helpful,keyboard characters are deceptive,0,0
the use of a keyboard characters to represent a symbol,keyboard characters are helpful,keyboard characters are deceptive,1,0
the lion storm,The lion is brave,The lion is scared,0,0
the lion lighning,The lion is brave,The lion is scared,1,0
the bulb is as bright as clarity,The bulb is very bright,The bulb is not very bright,0,1
the bulb is as bright as mud,The bulb is very bright,The bulb is not very bright,1,1
that man has the intelligence of a evil genius,The man is a highly intelligent person,The man is basically a dumb animal,0,1
that man has the intelligence of a field mouse,The man is a highly intelligent person,The man is basically a dumb animal,1,1
the idea he had hit a glacier,his idea sunk and failed,his idea was brilliant and worked,0,1
the idea he had was a lightbulb moment,his idea sunk and failed,his idea was brilliant and worked,1,1
many trees were blown down by the storm. fall the trees,The sky cleared up soon after the storm.,The storm did a lot of harm to the crops.,0
many trees were blown down by the storm. broken the trees.,The sky cleared up soon after the storm.,The storm did a lot of harm to the crops.,1
the pillows were as soft as a baby's bottom,The pillows were very soft.,The pillows were very hard.,0
the pillows were as soft as a rock,The pillows were very soft.,The pillows were very hard.,1
the movie has the depth of a wading pool,The movie is boring,The movie is profound,0
the movie has the depth of the ocean,The movie is boring,The movie is profound,1
life is a rollercoaster,people are working so hard.,people go through many sudden or extreme changes in a short time.,0
life is a race,people are working so hard.,people go through many sudden or extreme changes in a short time.,1
i don't love dogs,love is genuine,love is fake,0
i don't love pig,love is genuine,love is fake,1
the dancer a ballet,The dancer moved like a jelly,The dancer moved like a robot,0
the dancer a mailman,The dancer moved like a jelly,The dancer moved like a robot,1
the paint is as yellow as disgust,The paint is an unpleasant yellow,The paint is a pleasing yellow,0
the paint is as yellow as happiness,The paint is an unpleasant yellow,The paint is a pleasing yellow,1
that athlete has the speed of a cheetah,"The athlete is fast, like a cheetah","The athlete is slow, like an elephant",0
that athlete has the speed of an elephant,"The athlete is fast, like a cheetah","The athlete is slow, like an elephant",1
the event proceeded like butter,The event went smoothly,the event was slow and dragged on,0
the event proceeded like molasses,The event went smoothly,the event was slow and dragged on,1
the end of the glacier was an impressive sight. wonderful view.,when i sawed glacier very enjoyed,The glacier is very big.,0
the end of the glacier was an impressive sight. love the nature.,when i sawed glacier very enjoyed,The glacier is very big.,1
morning came as fast as a racecar driver,Morning came quickly.,Morning came very slowly.,0
morning came as fast as a a drop of thick molassas,Morning came quickly.,Morning came very slowly.,1
the game has the depth of the jumping,the game is boring,the game is profound,0
the game has the depth of the dancing,the game is boring,the game is profound,1
my kid's room is a disaster area,A disaster area is also covered in garbage and is gross.,A disaster area is also covered in garbage and is trash.,0
my kid's room is a messy place,A disaster area is also covered in garbage and is gross.,A disaster area is also covered in garbage and is trash.,1
a story or a novel contains histories,Novel is interesting,Novel is boring,0
a story or a novel contains realities,Novel is interesting,Novel is boring,1
"last night, i slept storm","Last night, I slept like a baby","Last night, I slept like granny",0
"last night, i slept glacier","Last night, I slept like a baby","Last night, I slept like granny",1
the deer ran quicker than a chainsaw,The deer ran very quickly,The deer did not run very quickly,0
the deer ran quicker than a bedframe,The deer ran very quickly,The deer did not run very quickly,1
that game was basically a barnburner,The game was fiery and intense,The game was lame and sleep-inducing,0
that game was basically a sleepover,The game was fiery and intense,The game was lame and sleep-inducing,1
