HITId,AssignmentId,startphrase,ending1,ending2,labels,valid,qid,index
3TZDZ3Y0JSGFK4D9BUATD20CN7R91P,3COPXFW7XCM55CDWQVHASRSEZZNPKZ,The book is an complex as a children's puzzle,The book is very complicated.,The book is easy to understand.,1,1,849,
3TZDZ3Y0JSGFK4D9BUATD20CN7R91P,358UUM7WR0D2MAMRKTWQTHN7UXRR73,The fog has the thickness of a heavy woman's thighs,The fog is thick,The fog is thin,0,1,858,
3TZDZ3Y0JSGFK4D9BUATD20CN7R91P,358UUM7WR0D2MAMRKTWQTHN7UXRR73,The fog has the thickness of Christian Bale in The Machinist,The fog is thick,The fog is thin,1,1,858,
38EHZ67RIM2RV3M6IMZ1PBA2PVHGMV,3RXCAC0YISZFXYIWENUK8D5V3I1G8I,The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,0,1,901,
38EHZ67RIM2RV3M6IMZ1PBA2PVHGMV,3RXCAC0YISZFXYIWENUK8D5V3I1G8I,The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,1,1,901,
37M4O367VJSTF6XM1QGALEJDZM3M5J,37UEWGM5HUIOBO7PVDFHS7WURCIR1Z,Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,0,1,954,
37M4O367VJSTF6XM1QGALEJDZM3M5J,37UEWGM5HUIOBO7PVDFHS7WURCIR1Z,Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,1,1,954,
3RQVKZ7ZRKTIV67CF1CN4PJBKNH72S,3R6P78PK7LLYVIAKHL5FZ91IHVRGTC,He ate like a horse,He ate a lot,He barely ate at all,0,1,980,
3RQVKZ7ZRKTIV67CF1CN4PJBKNH72S,3R6P78PK7LLYVIAKHL5FZ91IHVRGTC,He ate like a bird,He ate a lot,He barely ate at all,1,1,980,
3XABXM4AJ1F3N3EGRHUUE7D9BD18QU,3FE2ERCCZYIOV3YBON93Z89NJBJPOJ,The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,0,1,1111,
3XABXM4AJ1F3N3EGRHUUE7D9BD18QU,3FE2ERCCZYIOV3YBON93Z89NJBJPOJ,The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,1,1,1111,
3S8A4GJRD3D8OXR9K1R60GGQMAQ6V0,33C7UALJVM8ITJSTW49H1Q1P1IJ81P,Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,0,1,1125,
3S8A4GJRD3D8OXR9K1R60GGQMAQ6V0,33C7UALJVM8ITJSTW49H1Q1P1IJ81P,Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,1,1,1125,
3OKP4QVBP27QT2DHLJ9WGKF2VESGAB,3X1FV8S5JY1D8AE9MG5U0RP3EG0GVL,The car is a pile of dog poop.,The car is trash.,The car is wonderful.,0,1,1171,
3OKP4QVBP27QT2DHLJ9WGKF2VESGAB,3X1FV8S5JY1D8AE9MG5U0RP3EG0GVL,The car is a treasure chest.,The car is trash.,The car is wonderful.,1,1,1171,
39HYCOOPKOVOJJCFGWYTJQ75C31DMI,3X1FV8S5JY1D8AE9MG5U0RP3E7CGVF,The car was a cheetah,The car was fast,The car was slow,0,1,1182,
39HYCOOPKOVOJJCFGWYTJQ75C31DMI,3X1FV8S5JY1D8AE9MG5U0RP3E7CGVF,The car was a slug,The car was fast,The car was slow,1,1,1182,
371DNNCG44CGFJ688LOPJCOWVKTT8M,3X4MXAO0BHYHCPNSS142LXMONN4RW7,"When it comes to running, I'm practically a cheetah.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",0,1,1280,
371DNNCG44CGFJ688LOPJCOWVKTT8M,3X4MXAO0BHYHCPNSS142LXMONN4RW7,"When it comes to running, I'm practically a turtle.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",1,1,1280,
3FBEFUUYRKFOW9OB960A4T2D1WQ6AS,38F5OAUN5OMPXG8OOOKWFDL17MHH7G,The plot was as intricate as a Set of kid's blocks,The plot was simple,The plot was complicated,0,1,1402,
3FBEFUUYRKFOW9OB960A4T2D1WQ6AS,38F5OAUN5OMPXG8OOOKWFDL17MHH7G,The plot was as intricate as a The parts of a precision timepiece,The plot was simple,The plot was complicated,1,1,1402,
3T5ZXGO9DEYI7ZF307U7RRADAI7ZQH,3E13VNJ1NO5BIP465QL8EFV33601IL,this cake tastes like dirt,this cake is very bad,this cake is very good,0,1,1417,
3T5ZXGO9DEYI7ZF307U7RRADAI7ZQH,3E13VNJ1NO5BIP465QL8EFV33601IL,this cake tastes like heaven,this cake is very bad,this cake is very good,1,1,1417,
34KYK9TV2RIY2HR0MX3909IB135SBS,3S4AW7T80CSU0P9VDB1N4TUYWU74LI,"Compared to their competitors' tech, this prototype looks like it has been made by a dinosaur",The prototype is fundamentally simple and thus too basic.,The prototype is incredibly advanced compared to other similar products on the market.,0,1,1526,
34KYK9TV2RIY2HR0MX3909IB135SBS,3S4AW7T80CSU0P9VDB1N4TUYWU74LI,"Compared to their competitors' tech, this prototype looks like it has come from 4021",The prototype is fundamentally simple and thus too basic.,The prototype is incredibly advanced compared to other similar products on the market.,1,1,1526,
30P8I9JKOIVC5TRVFIH18A2QQB9V5V,34FNN24DCNJWW7KUAV9N3T2853ZY5Y,The pizza tastes like a cardboard box,The pizza is stale.,The pizza is delicious.,0,1,1641,
30P8I9JKOIVC5TRVFIH18A2QQB9V5V,34FNN24DCNJWW7KUAV9N3T2853ZY5Y,The pizza tastes like a Thanksgiving dinner,The pizza is stale.,The pizza is delicious.,1,1,1641,
338GLSUI43LOFY3GRZP5JZ9WG1TFST,3KWTYT0871DCW8DVRGKX9L0CXXD5LE,Walking through the snow was like going through concrete,The snow was heavy,The snow was light and airy,0,1,1709,
338GLSUI43LOFY3GRZP5JZ9WG1TFST,3KWTYT0871DCW8DVRGKX9L0CXXD5LE,Walking through the snow was like stepping in fresh powder,The snow was heavy,The snow was light and airy,1,1,1709,
,,The sun in the newly discovered solar system had the power of A 2 watt light bulb,The sun in the newly discovered solar system is weak,The sun in the newly discovered solar system is powerful and bright,0,1,X20,60.0
,,The sun in the newly discovered solar system had the power of A thousand stars going supernova,The sun in the newly discovered solar system is weak,The sun in the newly discovered solar system is powerful and bright,1,1,X20,61.0
,,The new coronavirus variant has the spread rate of a flu in a kindergarten class,The spread is very contagious,The spread is not that contagious,0,1,X103,250.0
,,The new coronavirus variant has the spread rate of rabies,The spread is very contagious,The spread is not that contagious,1,1,X103,251.0
,,This car has the engine of a lawn mower.,This car has a small engine.,This car has a powerful engine.,0,1,X117,280.0
,,This car has the engine of a F-15 fighter jet.,This car has a small engine.,This car has a powerful engine.,1,1,X117,281.0
,,Your dress is shiny as a quarter that just went through the washing machine,Your dress is totally dull,Your dress is brilliantly shiny,0,1,X165,376.0
,,Your dress is shiny as a new car in the early afternoon sun,Your dress is totally dull,Your dress is brilliantly shiny,1,1,X165,377.0
,,The concert was as crowded as a rush-hour train,The concert was crowded,The concert was not crowded,0,1,X213,492.0
,,The concert was as crowded as a mausoleum,The concert was crowded,The concert was not crowded,1,1,X213,493.0
,,The child was as fussy as a backyard BBQ,The child was very laidback.,The child was very fussy.,0,1,X239,574.0
,,The child was as fussy as a black tie wedding,The child was very laidback.,The child was very fussy.,1,1,X239,575.0
,,The soup is lava,The soup is hot.,The soup is cold.,0,1,X262,620.0
,,The soup is ice,The soup is hot.,The soup is cold.,1,1,X262,621.0
,,It was dirty like a pond.,It was very dirty.,It was clean.,0,1,X280,668.0
,,It was dirty like a bottled water.,It was very dirty.,It was clean.,1,1,X280,669.0
,,The pool was as as clean as a pig sty,The pool was dirty,The pool was clean,0,1,X309,732.0
,,The pool was as as clean as a house showing,The pool was dirty,The pool was clean,1,1,X309,733.0
,,My goal is fruitfull like an apple grove,I am reaching my goal,I am not reaching my goal,0,1,X361,862.0
,,My goal is fruitfull like a dead tree,I am reaching my goal,I am not reaching my goal,1,1,X361,863.0
,,The moon is A boulder in the sky,The moon is huge,The moon is tiny,0,1,X406,964.0
,,The moon is A pebble in the sky,The moon is huge,The moon is tiny,1,1,X406,965.0
,,Her status was as up in the air as the stock market,it was not sure,it was definite,0,1,X423,1004.0
,,Her status was as up in the air as the sun rising,it was not sure,it was definite,1,1,X423,1005.0
,,His status was as high as a bathroom attendant,His status was not high,His status was high,0,1,X429,1016.0
,,His status was as high as the King of England,His status was not high,His status was high,1,1,X429,1017.0
,,Sleeping over at his house is like spending a night at the Waldorf Astoria.,He has very nice accommodations.,He has below average accommodations.,0,1,X544,1260.0
,,Sleeping over at his house is like spending a night at the Motel 6.,He has very nice accommodations.,He has below average accommodations.,1,1,X544,1261.0
,,"When she waits on you, she'll make you feel like the Sultan of Brunei.Ask him tio",She provides good service.,She provides bad service.,0,1,X545,1262.0
,,"When she waits on you, she'll make you feel like she's doing you a favor.",She provides good service.,She provides bad service.,1,1,X545,1263.0
,,The magician was as colorful as a peacock's fan of feathers.,The magician had a lot of personality.,"The magician was dull, lacked character.",0,1,X628,1444.0
,,The magician was as colorful as a flight of pigeons.,The magician had a lot of personality.,"The magician was dull, lacked character.",1,1,X628,1445.0
,,life has a various chances for prove our self,chances never come again,we use all the chances,0,1,X657,1506.0
,,life has a various chances and our talent,chances never come again,we use all the chances,1,1,X657,1507.0
,,He liked the gym as much as a case of the measles,He did not like the gym,He liked the gym,0,1,X693,1582.0
,,He liked the gym as much as a warm caress,He did not like the gym,He liked the gym,1,1,X693,1583.0
,,This breeze is refrigirating me.,The breeze is freezing cold.,This breeze is very hot.,0,1,X732,1670.0
,,This breeze is baking me.,The breeze is freezing cold.,This breeze is very hot.,1,1,X732,1671.0
,,The container has rock's resistance.,Container is very hard and strong.,Container is weak.,0,1,X755,1716.0
,,The container has tissue's strength.,Container is very hard and strong.,Container is weak.,1,1,X755,1717.0
,,The man had the strength of a bear,The man is very strong,The man is pitifully weak,0,1,X901,2040.0
,,The man had the strength of a kitten,The man is very strong,The man is pitifully weak,1,1,X901,2041.0
,,They would follow him anywhere,They completely trusted him,They resisted trusting him at all,0,1,X1071,2435.0
,,They would follow him nowhere,They completely trusted him,They resisted trusting him at all,1,1,X1071,2436.0
,,That girl has the hotness of a Victoria Secret model.,The girl is pretty.,The girl is ugly.,0,1,X1134,2577.0
,,That girl has the hotness of a babushka.,The girl is pretty.,The girl is ugly.,1,1,X1134,2578.0
,,The bread was as hard as concrete,it was very hard,it was soft,0,1,X1143,2595.0
,,The bread was as hard as a pillow,it was very hard,it was soft,1,1,X1143,2596.0
,,It was therapeutic like a freight train.,It wasn't therapeutic.,It was very therapeutic.,0,1,X1183,2683.0
,,It was therapeutic like a song.,It wasn't therapeutic.,It was very therapeutic.,1,1,X1183,2684.0
,,To him the lady's heart was like A freezing cold snowy day.,The lady's heart was cruel and unfeeling,The lady's heart was soft when you get past the hard shell.,0,1,X1212,2743.0
,,To him the lady's heart was like A hard shell and a soft center.,The lady's heart was cruel and unfeeling,The lady's heart was soft when you get past the hard shell.,1,1,X1212,2744.0
,,The insects work together like the offensive line for the Green Bay Packers,They move as unit to accomplish the shared goal,They interfere with each other,0,1,X1238,2797.0
,,The insects work together like two siblings fighting for their mother's attention,They move as unit to accomplish the shared goal,They interfere with each other,1,1,X1238,2798.0
,,They were as close as Trump and Biden,They were not close,They were close,0,1,X1356,3066.0
,,They were as close as an apple and its stem,They were not close,They were close,1,1,X1356,3067.0
,,The painting  has the creativity of Rembrandt and Picasso getting their paintings married,The painting is really amazing and well done,The painting is poorly done,0,1,X1366,3090.0
,,The painting  has the creativity of a skunk peeing,The painting is really amazing and well done,The painting is poorly done,1,1,X1366,3091.0
,,His bones have the strength of a titanium rod,His bones are strong and durable,His bones are weak and easy to break,0,1,X1377,3112.0
,,His bones have the strength of a chopsticks,His bones are strong and durable,His bones are weak and easy to break,1,1,X1377,3113.0
,,The man has the friendliness of A dog,The man is very friendly,The man is very mean,0,1,X1474,3388.0
,,The man has the friendliness of A lion,The man is very friendly,The man is very mean,1,1,X1474,3389.0
,,The day went by like a tax season.,The day was long.,The day was short.,0,1,X1630,3782.0
,,The day went by like a holiday.,The day was long.,The day was short.,1,1,X1630,3783.0
,,My wife is my sunshine,My wife brightens my every action,My wife covers entire life and is suffocating,0,1,X1645,3812.0
,,My wife is my cloche,My wife brightens my every action,My wife covers entire life and is suffocating,1,1,X1645,3813.0
,,The woman had the height of an ostrich wearing platform boots on stilts,The woman was very tall,The woman was very short,0,1,X1711,4004.0
,,The woman had the height of a baby dwarf,The woman was very tall,The woman was very short,1,1,X1711,4005.0
,,The bird's morning song is as soothing as Someone's nails on a chalkboard,The bird's morning song is not soothing and is annoying,The bird's morning song is beautiful and melodic,0,1,X1789,4196.0
,,The bird's morning song is as soothing as A symphony by Bach,The bird's morning song is not soothing and is annoying,The bird's morning song is beautiful and melodic,1,1,X1789,4197.0
,,The guy has the emotional depth of a swimming pool,He is emotionally shallow,He is emotionally deep,0,1,X1848,4362.0
,,The guy has the emotional depth of the ocean,He is emotionally shallow,He is emotionally deep,1,1,X1848,4363.0
,,The speech had all the power of a bolt of lightning.,The speech was engaging and provoking.,The speech was uninteresting and dull.,0,1,X1877,4433.0
,,The speech had all the power of a static shock.,The speech was engaging and provoking.,The speech was uninteresting and dull.,1,1,X1877,4434.0
,,Her eyes were pools of light,She looked approachable/attractive,She looked hostile/angry,0,1,X1903,4491.0
,,Her eyes were chips of stone,She looked approachable/attractive,She looked hostile/angry,1,1,X1903,4492.0
,,The plot of the movie was as thin as an anorexic person,The plot of the movie was thin,The plot of the movie was complex,0,1,X1916,4529.0
,,The plot of the movie was as thin as the way an anorexic person sees themselves,The plot of the movie was thin,The plot of the movie was complex,1,1,X1916,4530.0
,,The pimple was as big as a Bus,The pimple is bigger than normal,The pimple is tiny.,0,1,X1943,4609.0
,,The pimple was as big as a Microbe,The pimple is bigger than normal,The pimple is tiny.,1,1,X1943,4610.0
,,I have the dexterity of spiderman,I have good dexterity,I have bad dexterity,0,1,X2039,4863.0
,,I have the dexterity of a new born deer,I have good dexterity,I have bad dexterity,1,1,X2039,4864.0
,,The lessons we learn are keys to imagination,The lessons we learn open doors to future success,The lessons we learn can sometimes strike fear and prevent movement,0,1,X2095,5001.0
,,The lessons we learn are border guards,The lessons we learn open doors to future success,The lessons we learn can sometimes strike fear and prevent movement,1,1,X2095,5002.0
,,Their cause has the momentum of a snowflake,The cause has no support,The cause has massive support,0,1,X2139,5105.0
,,Their cause has the momentum of an avalanche,The cause has no support,The cause has massive support,1,1,X2139,5106.0
,,The man's photography has the professionalism of A child's finger painting,The man's photography is not professional and amateurish,The man's photography is very professional and artistic,0,1,X2169,5183.0
,,The man's photography has the professionalism of Ansel Adams on steroids.,The man's photography is not professional and amateurish,The man's photography is very professional and artistic,1,1,X2169,5184.0
,,He's as dangerous as a rattlesnake,He is dangerous,He is not dangerous,0,1,X2175,5195.0
,,He's as dangerous as a butterfly,He is dangerous,He is not dangerous,1,1,X2175,5196.0
,,He's got muscles like a weightlifter,He's muscular,He's not muscular,0,1,X2186,5217.0
,,He's got muscles like a jellyfish,He's muscular,He's not muscular,1,1,X2186,5218.0
,,The puzzle was as complicated as rocket science,The puzzle was difficult,The puzzle was easy,0,1,X2221,5311.0
,,The puzzle was as complicated as the alphabet,The puzzle was difficult,The puzzle was easy,1,1,X2221,5312.0
,,"Seeing the old juke box was like visiting a nasty, useless junkyard",Seeing the old juke box was an eye sore.,Seeing the old juke box was a reminder of older times.,0,1,X2234,5343.0
,,Seeing the old juke box was like a key that opens a door of old memories.,Seeing the old juke box was an eye sore.,Seeing the old juke box was a reminder of older times.,1,1,X2234,5344.0
,,The girl's ego has the strength of spider silk,The girl has a strong ego.,The girl has a fragile ego.,0,1,X2246,5377.0
,,The girl's ego has the strength of a glass flute,The girl has a strong ego.,The girl has a fragile ego.,1,1,X2246,5378.0
,,The woman's breasts are planets,Her boobs are huge.,Her boobs are tiny.,0,1,X2275,5453.0
,,The woman's breasts are grapes,Her boobs are huge.,Her boobs are tiny.,1,1,X2275,5454.0
,,The book's plot is as straightforward as a grocery list,The book's plot is really straightforward.,The book's plot is really complicated.,0,1,X2286,5485.0
,,The book's plot is as straightforward as geometry homework,The book's plot is really straightforward.,The book's plot is really complicated.,1,1,X2286,5486.0
,,The apartment was a hamster cage,the apartment was small,the apartment was huge,0,1,X2299,5523.0
,,The apartment was an Empire State Building,the apartment was small,the apartment was huge,1,1,X2299,5524.0
,,It was old like dust.,It was very old.,It wasn't old.,0,1,X2379,5769.0
,,It was old like a baby.,It was very old.,It wasn't old.,1,1,X2379,5770.0
,,His philosophy was as complicated as a children's book,His philosophy was not complicated,His philosophy was complicated,0,1,X2411,5871.0
,,"His philosophy was as complicated as a 10,000 piece jigsaw puzzle",His philosophy was not complicated,His philosophy was complicated,1,1,X2411,5872.0
,,The blade had the sharpness of A well-dressed man,The blade was very sharp,The blade was not sharp at all.,0,1,X2430,5927.0
,,The blade had the sharpness of Silly putty,The blade was very sharp,The blade was not sharp at all.,1,1,X2430,5928.0
,,"The phone number was easy to remember as 1,2,3",The phone number was easy to remember,The phone number was so complex,0,1,X2471,6041.0
,,The phone number was easy to remember as a 100 number password,The phone number was easy to remember,The phone number was so complex,1,1,X2471,6042.0
,,The boy's legs were as sturdy as vanilla pudding,The boy's legs were very shaky.,The boy's legs were very sturdy.,0,1,X2501,6151.0
,,The boy's legs were as sturdy as steel beams,The boy's legs were very shaky.,The boy's legs were very sturdy.,1,1,X2501,6152.0
,,The argument is as harmless as a pillow fight,The argument is harmless.,The argument is harmful.,0,1,X2502,6155.0
,,The argument is as harmless as a terrorist attack,The argument is harmless.,The argument is harmful.,1,1,X2502,6156.0
,,It lasts as long as Graffiti,It lasts a long time,It doesnt last very long,0,1,X2533,6235.0
,,It lasts as long as A pair of white tennis shoes,It lasts a long time,It doesnt last very long,1,1,X2533,6236.0
,,The fighter was as tired as a mother at the end of the day,he was ready to pass out,he was full of energy,0,1,X2590,6392.0
,,The fighter was as tired as a dog on a car ride,he was ready to pass out,he was full of energy,1,1,X2590,6393.0
,,The stream of thoughts flowing through her head in her unconscious state was like The highest fiber optic internet.,Her mind was fast and clear,Her mind was slow and clunky.,0,1,X2594,6410.0
,,The stream of thoughts flowing through her head in her unconscious state was like Dial up with aol.,Her mind was fast and clear,Her mind was slow and clunky.,1,1,X2594,6411.0
,,It's enough to make an atheist praise God,It's enough to make anyone very happy,It's enough to make anyone very mad,0,1,X2629,6490.0
,,It's enough to make a preacher cuss,It's enough to make anyone very happy,It's enough to make anyone very mad,1,1,X2629,6491.0
,,The woman was as shy as a toddler on the first day of preschool,the woman was bashful,the woman was confident,0,1,X2661,6584.0
,,The woman was as shy as a lawyer on a huge case,the woman was bashful,the woman was confident,1,1,X2661,6585.0
,,The apprentice had The reflexes of a cat,The apprentice was agile,The apprentice was a brute,0,1,X2683,6644.0
,,The apprentice had The grace of a hippo,The apprentice was agile,The apprentice was a brute,1,1,X2683,6645.0
,,Love is a poppy field,Love is beautiful,Love is war,0,1,X2689,6664.0
,,Love is a battlefield,Love is beautiful,Love is war,1,1,X2689,6665.0
,,The new song sounded as melodic as a cat with its tail caught in a mousetrap.,The new song did not sound melodic.,The new song sounded beautifully melodic.,0,1,X2724,6782.0
,,The new song sounded as melodic as wind chimes under the direction of heaven's own choir.,The new song did not sound melodic.,The new song sounded beautifully melodic.,1,1,X2724,6783.0
,,He was social like a dog.,He was very social.,He was antisocial.,0,1,X2791,6978.0
,,He was social like a cat.,He was very social.,He was antisocial.,1,1,X2791,6979.0
,,Her hair was as soft to the touch as Dandelion fuzz,The hair was soft,The hair was rough,0,1,X2812,7040.0
,,Her hair was as soft to the touch as Running your hands over thorns on branches,The hair was soft,The hair was rough,1,1,X2812,7041.0
,,I have the discipline of a teenage delinquent,I am not disciplined at all,I am very disciplined,0,1,X2976,7562.0
,,I have the discipline of a Tibetan monk,I am not disciplined at all,I am very disciplined,1,1,X2976,7563.0
,,The house is as small as a New York City bathroom,The house is very small,The house is very large,0,1,X2977,7564.0
,,The house is as small as a high school gymnasium,The house is very small,The house is very large,1,1,X2977,7565.0
,,the song makes him see the light,The song brings hope,The song brings memories of pain.,0,1,X2990,7610.0
,,the song makes him wander in dark,The song brings hope,The song brings memories of pain.,1,1,X2990,7611.0
,,the salesman was a smooth as sand paper,The salesman was bad at his job,The salesman was good at his job,0,1,X3018,7712.0
,,the salesman was a smooth as silk,The salesman was bad at his job,The salesman was good at his job,1,1,X3018,7713.0
,,the oak's tree shade was the largest umbrella ever,The oak tree provided a lot of shade,The oak tree barely provided any shade,0,1,X3049,7826.0
,,the oak's tree shade was the smallest umbrella ever,The oak tree provided a lot of shade,The oak tree barely provided any shade,1,1,X3049,7827.0
,,her morals were as strong as a knight in armor,She had strong morals,She had weak morals,0,1,X3083,8012.0
,,her morals were as strong as a wet piece of paper,She had strong morals,She had weak morals,1,1,X3083,8013.0
,,the stove got as hot as a polar vortex,The stove did not get hot.,The stove got very hot.,0,1,X3096,8052.0
,,the stove got as hot as the sun,The stove did not get hot.,The stove got very hot.,1,1,X3096,8053.0
,,the computer is as fast as a cheetah,The computer is fast,The computer is slow,0,1,X3109,8086.0
,,the computer is as fast as molasses,The computer is fast,The computer is slow,1,1,X3109,8087.0
,,the baby's skin was smooth as a bald man's freshly waxed head,The baby had smooth skin,The baby's skin was not smooth,0,1,X3120,8124.0
,,the baby's skin was smooth as a bald man's unshaven beard,The baby had smooth skin,The baby's skin was not smooth,1,1,X3120,8125.0
,,the flower is as beautiful as a bride on her wedding day,The flower is beautiful,The flower is ugly,0,1,X3163,8256.0
,,the flower is as beautiful as frankenstein's monster,The flower is beautiful,The flower is ugly,1,1,X3163,8257.0
,,the child's brain is as fast as a supercomputer,The child is smart,The child is dumb,0,1,X3179,8292.0
,,the child's brain is as fast as a an abacus,The child is smart,The child is dumb,1,1,X3179,8293.0
,,the bear was the size of a whale after eating a smaller whale,The bear was very big,The bear was pretty small,0,1,X3180,8296.0
,,"the bear was the size of the earth in the ""pale blue dot"" photo",The bear was very big,The bear was pretty small,1,1,X3180,8297.0
