startphrase,ending1,ending2,labels,ROBERTA,pred is correct
The dog has the snores of a mouse hiding from a house cat,The dog snores loudly,The dog hardly makes a sound,1,1,1
He has the attitude of the Grinch at Christmas,He has a bad attitude,He's got a good attitude,0,0,1
He has the attitude of the Grinch at Halloween,He has a bad attitude,He's got a good attitude,1,0,0
The podcast had the speed of A clogged drain,It was slow,It was fast,0,0,1
The podcast had the speed of A bullet,It was slow,It was fast,1,1,1
The groom was feeling like a pig in mud,The groom was happy.,The groom was sad.,0,1,0
The groom was feeling like a raindrop on a grave,The groom was happy.,The groom was sad.,1,1,1
When the morning is tough put a smile on your face and move on,do not let one bad thing ruin your whole day,look at the world others are having a much rougher day.,0,0,1
When the morning is tough sip your hot coffee and watch the news,do not let one bad thing ruin your whole day,look at the world others are having a much rougher day.,1,1,1
The butler's posture was that of a weeping willow.,The butler had poor posture.,The butler had good posture,0,1,0
The butler's posture was that of a tall cypress.,The butler had poor posture.,The butler had good posture,1,1,1
The music was as loud as a firetruck,The music was loud,The music was quiet and soft,0,0,1
The music was as loud as a bumblebee,The music was loud,The music was quiet and soft,1,1,1
The city was as big as a continent.,The city was very big.,The city was very small.,0,0,1
The city was as big as a island.,The city was very big.,The city was very small.,1,1,1
The dog barked like a alarm.,The dog barked loudly.,The dog barked quietly.,0,0,1
The dog barked like a cricket.,The dog barked loudly.,The dog barked quietly.,1,1,1
The pills have the chalkiness of a sidewalk a dozen kids have drawn on,The pills are very chalky,The pills aren't at all chalky,0,0,1
The pills have the chalkiness of a warm cup of milk,The pills are very chalky,The pills aren't at all chalky,1,1,1
The jumper leaped as high as a grasshopper,The jumper jumped high.,The jumper didn't jump high.,0,1,0
The jumper leaped as high as a turtle,The jumper jumped high.,The jumper didn't jump high.,1,1,1
The movie was as scary as a monster,The movie was scary,The movie was not scary.,0,0,1
The movie was as scary as a lamb,The movie was scary,The movie was not scary.,1,1,1
The problem was small as a pea.,The problem was small.,The problem was big.,0,0,1
The problem was small as an elephant.,The problem was small.,The problem was big.,1,1,1
Love is an economic exchange,It's purely finance,it's god like,0,0,1
Love is a heaven sent journey,It's purely finance,it's god like,1,1,1
Life is a classroom,It is a learning experience,It is predisposed,0,0,1
Life is a God's will,It is a learning experience,It is predisposed,1,0,0
The girl has the gracefulness of a military platoon,The girl doesn't have any grace.,The girl is very graceful.,0,0,1
The girl has the gracefulness of butterfly,The girl doesn't have any grace.,The girl is very graceful.,1,1,1
The boy had the courage of a tiger.,The boy is brave.,The boy is not brave.,0,0,1
The boy had the courage of a guinea pig.,The boy is brave.,The boy is not brave.,1,1,1
Her eyes were cold rain down your collar.,Her eyes made him feel uncomfortable.,Her eyes were comforting.,0,0,1
Her eyes were warm soup on a winter day.,Her eyes made him feel uncomfortable.,Her eyes were comforting.,1,1,1
The gambling at the casino had all the excitement of Watching paint dry,The gambling at the casino was boring,The gambling was exciting and entertaining,0,0,1
The gambling at the casino had all the excitement of A fast-paced football game,The gambling at the casino was boring,The gambling was exciting and entertaining,1,1,1
That boy has the sense of a rock.,The boy is stupid.,The boy is a genius.,0,0,1
That boy has the sense of Einstein.,The boy is stupid.,The boy is a genius.,1,1,1
She wore the dress like a potato sack.,Her dress was not flattering.,Her dress was beautiful.,0,0,1
She wore the dress as if it was made from spun gold.,Her dress was not flattering.,Her dress was beautiful.,1,1,1
The girl treats her friends like Prada,The girl treasures her friends.,The girl treats her friends poorly.,0,0,1
The girl treats her friends like Goodwill finds,The girl treasures her friends.,The girl treats her friends poorly.,1,1,1
His temper was a tempest.,He had a terrible temper.,He didn't really have a temper.,0,0,1
His temper was a marshmallow.,He had a terrible temper.,He didn't really have a temper.,1,1,1
That job was an everyday knife in my eye.,The job was terrible.,The job was fun.,0,0,1
That job was an everyday dance party.,The job was terrible.,The job was fun.,1,1,1
The comedian's jokes were about as awful as a winning lotto ticket,the jokes were great,the jokes were bad,0,0,1
The comedian's jokes were about as awful as a blown tire,the jokes were great,the jokes were bad,1,1,1
The dress was as pretty as a picture,the dress was good looking,the dress was ugly,0,0,1
The dress was as pretty as a dead roach,the dress was good looking,the dress was ugly,1,1,1
His mother gave him the respect of a king,His mothe respected him,His mother disrespected him,0,0,1
His mother gave him the respect of a clown,His mothe respected him,His mother disrespected him,1,1,1
The bowl was as valuable as silver,The bowl was valuable,The bowl was worthless,0,0,1
The bowl was as valuable as mud,The bowl was valuable,The bowl was worthless,1,1,1
The mother's soup was a grand elixir,The mother's soup was Incredibly good,The mother's soup was very nasty,0,0,1
The mother's soup was tiger dung,The mother's soup was Incredibly good,The mother's soup was very nasty,1,1,1
The bowl is a durable old god,The bowl is very durable,The bowl is fragile,0,0,1
The bowl is a durable baby turtle,The bowl is very durable,The bowl is fragile,1,0,0
She had the anger of a wasp,She was an angry person.,She was an evenhanded person.,0,0,1
She had the anger of a nap,She was an angry person.,She was an evenhanded person.,1,1,1
The list was long like a ribbon.,The list was long.,The list was short.,0,1,0
The list was long like a pen tip.,The list was long.,The list was short.,1,1,1
The child has the heart of stone.,The child is cold and un-loving.,The child is very loving.,0,0,1
The child has the heart of gold.,The child is cold and un-loving.,The child is very loving.,1,1,1
The plot of the show is as clear as mud.,The plot of the show isn't clear at all.,The plot of the show is very clear.,0,0,1
The plot of the show is as clear as crystal.,The plot of the show isn't clear at all.,The plot of the show is very clear.,1,1,1
The building was as big as a mountain,The building was big,The building was small,0,0,1
The building was as big as a molehill,The building was big,The building was small,1,1,1
That storage closet has the space of a thousand Jupiters,There's a lot of room,There's barely any room at all,0,0,1
That storage closet has the space of a mousehole filled with rats,There's a lot of room,There's barely any room at all,1,1,1
The flea medication is an unplugged coffee maker.,The flea medication is ineffective.,The flea medication is efficacious.,0,1,0
The flea medication is a fully charged defibrillator.,The flea medication is ineffective.,The flea medication is efficacious.,1,1,1
Each link was the size of Kansas,Each link was huge,Each link was tiny,0,0,1
Each link was the size of an ant,Each link was huge,Each link was tiny,1,1,1
He writes like Shakespeare,He writes well,He writes badly,0,0,1
He writes like the village idiot,He writes well,He writes badly,1,1,1
The table had the age of a wooly mammoth,The table was old,The table was young,0,0,1
The table had the age of a toddler,The table was old,The table was young,1,1,1
Raising a teenager is playing craps against a table with rigged dice,Raising a teenager is fraught with impossible risks,Raising a teenager is a pleasant surprise,0,0,1
Raising a teenager is getting a gift you didn't know you wanted,Raising a teenager is fraught with impossible risks,Raising a teenager is a pleasant surprise,1,1,1
Raising a puppy is a walk through quicksand,Raising a puppy is really tough.,Raising a puppy is pleasant and easy.,0,0,1
Raising a puppy is doing laps in a warm pool,Raising a puppy is really tough.,Raising a puppy is pleasant and easy.,1,1,1
Owning a cat is an extended visit by a grumpy uncle,Owning a cat is not pleasant.,Owning a cat is quite sweet.,0,0,1
Owning a cat is an extended visit by your favorite aunt,Owning a cat is not pleasant.,Owning a cat is quite sweet.,1,1,1
My professor is a talented anesthesiologist.,My professor's lecture is so boring that it puts me to sleep.,My professor's lecture is so interesting that makes me keep wanting to listen to her.,0,1,0
My professor is a great story teller.,My professor's lecture is so boring that it puts me to sleep.,My professor's lecture is so interesting that makes me keep wanting to listen to her.,1,1,1
The hyperlink has the functionality of a brand new car,The hyperlink functions perfectly,The hyperlink doesn't work,0,0,1
The hyperlink has the functionality of an igloo in the desert,The hyperlink functions perfectly,The hyperlink doesn't work,1,1,1
The hospital mattress was a slab of stone,The hospital mattress was very hard.,The hospital mattress was very soft.,0,0,1
The hospital mattress was a pile of marshmallows,The hospital mattress was very hard.,The hospital mattress was very soft.,1,1,1
The classroom sounded like a dog pound,The classroom was noisy.,The classroom was quiet.,0,0,1
The classroom sounded like a garden conservatory,The classroom was noisy.,The classroom was quiet.,1,1,1
Her dress was the colors of antique book pages,Her dress was dully colored.,Her dress was brightly colored.,0,0,1
Her dress was the colors of a neon bar sign,Her dress was dully colored.,Her dress was brightly colored.,1,1,1
The sadness of her death was a planet,The sadness was large,The sadness was small,0,0,1
The sadness of her death was a flea,The sadness was large,The sadness was small,1,1,1
Comedy is sunshine,Comedy is good,Comedy is bad,0,0,1
Comedy is a rainstorm,Comedy is good,Comedy is bad,1,1,1
The disease has the seriousness of The common cold,The disease is not serious,The disease is very serious,0,0,1
The disease has the seriousness of A terminal illness,The disease is not serious,The disease is very serious,1,1,1
he is as energetic as a new battery,he is excited,he is tired,0,0,1
he is as energetic as a sleeping bunny,he is excited,he is tired,1,1,1
He is enthusiastic as a kid on the first day of school,he is excited,he is tired,0,0,1
He is enthusiastic as a sleeping rat,he is excited,he is tired,1,1,1
Her voice had the melody of a signing lark,Her voice was beautiful,Her voice was ugly,0,0,1
Her voice had the melody of a dying crow,Her voice was beautiful,Her voice was ugly,1,1,1
The girl's temperament is a balloon,The girl is easily provoked.,The girl has a steady temperament.,0,0,1
The girl's temperament is the ocean at low tide,The girl is easily provoked.,The girl has a steady temperament.,1,1,1
The sound of her violin is like a dumpster fire,The sound of her violin is terrible.,The sound of her violin is smooth.,0,0,1
The sound of her violin is like peaches and cream,The sound of her violin is terrible.,The sound of her violin is smooth.,1,1,1
The car was as fast as a cheetah,The car was fast,The car was slow,0,0,1
The car was as fast as a turtle,The car was fast,The car was slow,1,1,1
The roach was as frantic as a doctor during a code blue,it was going crazy,it was calm,0,0,1
The roach was as frantic as a sleeping baby,it was going crazy,it was calm,1,1,1
The girl lies as much as a presidential candidate,The girl lies all the time.,The girl never lies.,0,0,1
The girl lies as much as Jesus,The girl lies all the time.,The girl never lies.,1,1,1
The girl's personality is flat soda,The girl has a boring personality.,The girl has a bubbly personality.,0,0,1
The girl's personality is prosecco,The girl has a boring personality.,The girl has a bubbly personality.,1,1,1
The sculpture has the fragility of a cannon made of gladd,It's likely to break,It's practically unbreakable,0,1,0
The sculpture has the fragility of a diamond inside a bigger diamond,It's likely to break,It's practically unbreakable,1,1,1
The football player was a lumberer.,The football player was clumsy.,The football player was careful.,0,0,1
The football player was a dancer.,The football player was clumsy.,The football player was careful.,1,1,1
The NHL player was a woodpecker.,The NHL player was sloppy.,The NHL player was careful.,0,1,0
The NHL player was a surgeon.,The NHL player was sloppy.,The NHL player was careful.,1,1,1
Reading the comic was exciting as an adventure,Reading the comic was very exciting,Reading the comic was very boring,0,0,1
Reading the comic was exciting as homework,Reading the comic was very exciting,Reading the comic was very boring,1,1,1
He was as energized as a light bulb.,He was very energized.,He wasn't energized at all.,0,0,1
He was as energized as a dead battery.,He was very energized.,He wasn't energized at all.,1,1,1
The contract was as long as the Bible,The contract was very lengthy.,The contract was very short.,0,0,1
The contract was as long as a grocery list,The contract was very lengthy.,The contract was very short.,1,1,1
The musician plays like as good as A gerbil,He plays badly,He plays well,0,0,1
The musician plays like as good as An olympian,He plays badly,He plays well,1,1,1
The student was as ashamed as a dog that found a bone,he was proud,he was embarrassed,0,0,1
The student was as ashamed as a stock broker in debt,he was proud,he was embarrassed,1,0,0
So many responsibilities had Joe about as hungry as a whale,Joe was very hungry because of his responsibilities,Joe was not very hungry because he had so much to do,0,0,1
So many responsibilities had Joe about as hungry as a grasshopper,Joe was very hungry because of his responsibilities,Joe was not very hungry because he had so much to do,1,1,1
The family was as rich as a king,The family was very rich,The family was very poor,0,0,1
The family was as rich as a pile of dirt,The family was very rich,The family was very poor,1,1,1
The spa has the charm of a stink bug.,The spa lacks amenities.,The spa is enjoyable.,0,0,1
The spa has the charm of Cary Grant.,The spa lacks amenities.,The spa is enjoyable.,1,1,1
The football player has the agility of a solenodon.,The football player is a klutz.,The football player is lithe.,0,1,0
The football player has the agility of a mountain goat.,The football player is a klutz.,The football player is lithe.,1,0,0
The cake is as moist as a greenhouse in the Amazon,It's very moist,It's incredibly dry,0,0,1
The cake is as moist as the surface of Mercury,It's very moist,It's incredibly dry,1,1,1
Winning this video game is as easy as giving candy to a child.,Winning this game is so easy,Winning this game is close to impossible,0,0,1
Winning this video game is as easy as jumping from a plane and surviving without a parachute,Winning this game is so easy,Winning this game is close to impossible,1,1,1
The government plan is as expensive as a hundred mansions,it is a lot,it is cheap,0,0,1
The government plan is as expensive as penny candy,it is a lot,it is cheap,1,1,1
To defeat the dark lord would be to topple a mountain.,Defeating the dark lord would be very difficult.,Defeating the dark lord would be very easy.,0,0,1
To defeat the dark lord would be to topple a child's blocks.,Defeating the dark lord would be very difficult.,Defeating the dark lord would be very easy.,1,1,1
He dove with all the grace of an Olympic swimmer,He dove well.,"He dove poorly, and sank as he hit the water.",0,0,1
He dove with all the grace of an anchor,He dove well.,"He dove poorly, and sank as he hit the water.",1,1,1
The Christmas tree is as bright as a forest fire on a dark night,It's very bright.,It's quite dim.,0,1,0
The Christmas tree is as bright as nightlight in the middle of the day,It's very bright.,It's quite dim.,1,1,1
The weightlifter has the strength of an eyelash.,The weightlifter is weak.,The weightlifter is powerful.,0,0,1
The weightlifter has the strength of a dung beetle.,The weightlifter is weak.,The weightlifter is powerful.,1,0,0
The math test was as straightforward as assembling a PBJ sandwich,The math test was straightforward.,The math test was complicated.,0,0,1
The math test was as straightforward as building a rocket ship,The math test was straightforward.,The math test was complicated.,1,1,1
The clothing has the smell of roses,The clothing smells pleasant,The clothing smells awful,0,0,1
The clothing has the smell of a crowded gym,The clothing smells pleasant,The clothing smells awful,1,1,1
The pot roast was as tender as a warm doughnut.,The pot roast is very tender.,The pot roast in not tender at all.,0,0,1
The pot roast was as tender as a boulder encased in concrete.,The pot roast is very tender.,The pot roast in not tender at all.,1,1,1
It was built like a castle,It was durable.,It was flimsy.,0,0,1
It was built like a paper fort,It was durable.,It was flimsy.,1,1,1
He has the belly of a bloated whale carcass,His belly is large,He has a tiny belly,0,0,1
He has the belly of an unblown balloon,His belly is large,He has a tiny belly,1,0,0
The doctor was as gentle as a lamb,he was nice,he was mean,0,0,1
The doctor was as gentle as a boxer,he was nice,he was mean,1,1,1
His mind was a Rubik's cube.,His thinking is rigid and mathematical.,His thinking is frenetic and open.,0,0,1
His mind was a bouncy ball.,His thinking is rigid and mathematical.,His thinking is frenetic and open.,1,1,1
He awoke from sleeping like a man falling off a cliff,He awoke suddenly,He awoke slowly,0,0,1
He awoke from sleeping like a man drifting out to sea,He awoke suddenly,He awoke slowly,1,1,1
Her eyes reflected a sparkle a multitude of stars,Her eyes were bright and shiny,Her eyes were blank,0,0,1
Her eyes reflected a sparkle like that of a roach,Her eyes were bright and shiny,Her eyes were blank,1,1,1
The man was as dangerous as a loaded gun.,The man was deadly.,The man was totally harmless.,0,0,1
The man was as dangerous as a kitten.,The man was deadly.,The man was totally harmless.,1,1,1
The new linebacker is as solid as a brick wall,The linebacker is tough and can hold his ground.,The linebacker is weak and people can run right through him.,0,0,1
The new linebacker is as solid as water,The linebacker is tough and can hold his ground.,The linebacker is weak and people can run right through him.,1,1,1
This man is as brave as a house kitten,the man is timid,the man is courageous,0,0,1
This man is as brave as a firefighter,the man is timid,the man is courageous,1,1,1
That light is as bright as the sun,the light is shiny,the light is dim,0,0,1
That light is as bright as midnight,the light is shiny,the light is dim,1,1,1
The marriage was a stale piece of bread,The marriage was getting old.,The marriage was new.,0,0,1
The marriage was a shiny ring,The marriage was getting old.,The marriage was new.,1,1,1
The bath was as hot as an oven,The bath was very hot,The bath was not hot,0,0,1
The bath was as hot as the ocean,The bath was very hot,The bath was not hot,1,1,1
The play went over like a charm,The play was good and successful,The play was terrible,0,0,1
The play went over like a car crash,The play was good and successful,The play was terrible,1,1,1
The cougar had the dangerousness of a fire in a fireworks factory,The cougar is quite dangerous,The cougar isn't too dangerous,0,0,1
The cougar had the dangerousness of a goldfish in a kiddie pool,The cougar is quite dangerous,The cougar isn't too dangerous,1,1,1
The cat had the meow of a fully grown bobcat,The cat had a strong meow,The cat's meow was weak,0,0,1
The cat had the meow of a sickly dog,The cat had a strong meow,The cat's meow was weak,1,1,1
He had all the style of a runway model.,He is very stylish and hip.,He's very OUT of style.,0,0,1
He had all the style of a secondhand leisure suit.,He is very stylish and hip.,He's very OUT of style.,1,1,1
The poem was as romantic as a love-letter.,The poem was very sweet and romantic.,The poem wasn't romantic at all.,0,0,1
The poem was as romantic as divorce papers.,The poem was very sweet and romantic.,The poem wasn't romantic at all.,1,1,1
His style is so solar flare,His style is so hot right now.,His style is so old-fashioned.,0,0,1
His style is so rotary phone,His style is so hot right now.,His style is so old-fashioned.,1,1,1
This football game is like a Rambo movie.,This football game is full of action.,This football game is moving slowly.,0,0,1
This football game is like a blue starfish.,This football game is full of action.,This football game is moving slowly.,1,1,1
The boy's style is as current as a boomer's myspace home page.,His style is out of date.,His style is up to date.,0,0,1
The boy's style is as fresh as the morning's first cup of coffee.,His style is out of date.,His style is up to date.,1,1,1
He feels the love of a policeman to a fresh donut,He feels a lot of love,He feels little love,0,0,1
He feels the love of the devil to everything good,He feels a lot of love,He feels little love,1,1,1
The rat has the speed of a laxative traveling through a stomach,The rat is very fast,The rat is very slow,0,1,0
The rat has the speed of an upside down giraffe,The rat is very fast,The rat is very slow,1,0,0
The flowers have the scent of a botanical garden in full bloom,The flowers have a good scent,The flowers have an awful scent,0,0,1
The flowers have the scent of a garbage fire on a hot summer night,The flowers have a good scent,The flowers have an awful scent,1,1,1
Love is snow on a Christmas morning,Love is awesome,Love is terrible,0,0,1
Love is rain on your beach vacation,Love is awesome,Love is terrible,1,1,1
Her morals were soggy cereal,Her morals were flexible,Her morals were inflexible,0,0,1
Her morals were hard candy,Her morals were flexible,Her morals were inflexible,1,0,0
This party has the electricity of a field of solar panels,The party is popping,The party is boring.,0,0,1
This party has the electricity of a burned out light bulb,The party is popping,The party is boring.,1,1,1
He entered the room with all the subtlety of a mouse,He entered quietly,He entered loudly,0,0,1
He entered the room with all the subtlety of an elephant,He entered quietly,He entered loudly,1,1,1
"In the sunlight, her hair was aflame",Her hair was red.,Her hair was blonde.,0,0,1
"In the sunlight, her hair was woven gold",Her hair was red.,Her hair was blonde.,1,1,1
The cop got the suspect to confess after applying the pressure of an avalanche,The cop used a lot of pressure.,The cop used little pressure.,0,0,1
The cop got the suspect to confess after applying the pressure of a feather,The cop used a lot of pressure.,The cop used little pressure.,1,1,1
The singer had the tone of a singing bluebird,The singer sounded good.,The singer sounded bad.,0,0,1
The singer had the tone of a squawking crow,The singer sounded good.,The singer sounded bad.,1,1,1
As poor as a homeless person,You have no money,You are rich,0,0,1
As poor as a Kardashian,You have no money,You are rich,1,1,1
The cat's tail moved with the rhythm of a jet propellor,The cat's tail was fast,The cat's tail was slow,0,0,1
The cat's tail moved with the rhythm of wheat swaying in the breeze,The cat's tail was fast,The cat's tail was slow,1,0,0
The sisters were ribbons and bows.,The sisters got along together.,The sisters did not mix well with each other.,0,0,1
The sisters were oil and water.,The sisters got along together.,The sisters did not mix well with each other.,1,1,1
His love was a many forked road.,His love was spread to many.,His love was straight and true.,0,0,1
His love was as straight as a nun's ruler.,His love was spread to many.,His love was straight and true.,1,1,1
My life is a circus and I am the freak show,I am a freak,I control my life,0,0,1
My life is a circus and I am the ringleader.,I am a freak,I control my life,1,0,0
The girl craves as much attention as the red carpet,The girl wants all the attention.,The girl doesn't want any attention.,0,0,1
The girl craves as much attention as a doe,The girl wants all the attention.,The girl doesn't want any attention.,1,1,1
The doctor has the warmth of an icicle.,The doctor is cold and unfeeling.,The doctor is comforting.,0,0,1
The doctor has the warmth of a cozy blanket.,The doctor is cold and unfeeling.,The doctor is comforting.,1,1,1
Her devotion to her family was as strong as an ox.,She is strongly devoted to her family.,She is only weakly devoted to her family.,0,0,1
Her devotion to her family was as strong as a kitten.,She is strongly devoted to her family.,She is only weakly devoted to her family.,1,1,1
His skill in writing was as sharp as a knife.,Her writing skill is excellent.,Her writing skill is poor.,0,0,1
His skill in writing was as sharp as a spoon.,Her writing skill is excellent.,Her writing skill is poor.,1,1,1
He had the passion of the sun.,He was very passionate.,He was not passionate.,0,0,1
He had the passion of a nap.,He was very passionate.,He was not passionate.,1,1,1
The chemicals had the stability of steel,The chemicals were stable.,The chemicals were highly unstable.,0,0,1
The chemicals had the stability of melted ice cream,The chemicals were stable.,The chemicals were highly unstable.,1,1,1
The victory was like getting wet in a thunderstorm.,The victory was too easy.,The victory was very hard-fought.,0,1,0
The victory was like passing calculus class.,The victory was too easy.,The victory was very hard-fought.,1,1,1
The gun was as powerful as a titan,The gun was powerful.,The gun was weak.,0,0,1
The gun was as powerful as a butterfly,The gun was powerful.,The gun was weak.,1,1,1
The boy was as innocent as a dove,the boy was pure,the boy was evil,0,0,1
The boy was as innocent as a rabid wold,the boy was pure,the boy was evil,1,1,1
the pants were as torn as a drunk's liver,the pants were messed up,the pants were well put togther,0,0,1
the pants were as torn as a sturdy ship,the pants were messed up,the pants were well put togther,1,1,1
He is as tall as a tree,He is tall,He is short,0,0,1
He is as tall as a dwarf,He is tall,He is short,1,1,1
That surface is as smooth as silk,That surface is smooth,That surface is rough,0,0,1
That surface is as smooth as sandpaper,That surface is smooth,That surface is rough,1,1,1
That tree is a tall as Push pin,It is short,It is tall,0,0,1
That tree is a tall as A skyscraper,It is short,It is tall,1,1,1
The tactic is as obvious as a kindergarten math problem,"The tactic is simple, easy to figure out",The tactic is complex and involves many steps,0,1,0
The tactic is as complex as Calculus,"The tactic is simple, easy to figure out",The tactic is complex and involves many steps,1,1,1
The job is as easy as tying your shoes,The job is quite easy and almost everyone can do it,The job is difficult,0,0,1
The job is as easy as learning nuclear fission,The job is quite easy and almost everyone can do it,The job is difficult,1,1,1
The win was as satisfying as a bowl of chicken soup,The win was perfectly satisfying.,The win wasn't satisfying at all.,0,1,0
The win was as satisfying as a rice cracker,The win was perfectly satisfying.,The win wasn't satisfying at all.,1,1,1
The blimp was as light as air,The blimp was very light,The blimp was heavy,0,0,1
The blimp was as light as stone,The blimp was very light,The blimp was heavy,1,1,1
The picture was as clear as day,The picture was clear,The picture was hard to see,0,0,1
The picture was as clear as muddy water,The picture was clear,The picture was hard to see,1,1,1
The book read like a good song.,The book was easy to read.,The book was hard to read.,0,0,1
The book read like a secret note.,The book was easy to read.,The book was hard to read.,1,1,1
He is as adorable as a puppy,he's cute,he's ugly,0,0,1
He is as adorable as a sewer rat,he's cute,he's ugly,1,1,1
he is as adventurous as a pioneer,he is exciting,he is boring,0,0,1
he is as adventurous as a sofa bed,he is exciting,he is boring,1,1,1
This dog is as aggressive as a heavyweight fighter,it is mean,it is harmless,0,0,1
This dog is as aggressive as a cotton ball,it is mean,it is harmless,1,1,1
He had the dedication of a soldier,He was dedicated.,He was undedicated.,0,0,1
He had the dedication of a underpaid temp,He was dedicated.,He was undedicated.,1,1,1
He has the courage of a lion,He is very courageous and brave,He is scared,0,0,1
He has the courage of a baby,He is very courageous and brave,He is scared,1,1,1
The dancer landed her jump with the grace of a cat,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,0,1,0
The dancer landed her jump with the grace of a seal,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,1,0,0
The teacher's grading policy was as flexible as an Olympic gymnast,The teacher's grading policy was very flexible.,The teacher's grading policy was very rigid.,0,0,1
The teacher's grading policy was as flexible as a steel beam,The teacher's grading policy was very flexible.,The teacher's grading policy was very rigid.,1,1,1
Dinner smelled like heaven,Dinner smelled good.,Dinner smelled bad.,0,0,1
Dinner smelled like garbage,Dinner smelled good.,Dinner smelled bad.,1,1,1
The bottle was as rare as a gem,The bottle was rare,The bottle was common,0,0,1
The bottle was as rare as dirt,The bottle was rare,The bottle was common,1,1,1
The toddler's cries were as loud as a fire alarm,The toddler's cries were loud.,The toddler's cries were quiet.,0,0,1
The toddler's cries were as loud as a library,The toddler's cries were loud.,The toddler's cries were quiet.,1,1,1
The man has the addiction of an alcoholic who's just discovered beer comes in not just cans but easily concealed bottles,The man's addiction is severe,The man's addiction isn't very bad,0,0,1
The man has the addiction of a desert tortoise allergic to the ocean,The man's addiction is severe,The man's addiction isn't very bad,1,0,0
"The camel had the humps of Fergie as she depicts herself in the song ""My Humps""","The camel has big, mighty humps",The camel is flat and lacks humps,0,0,1
The camel had the humps of a young girl's chest,"The camel has big, mighty humps",The camel is flat and lacks humps,1,1,1
He was as sturdy as a brick house.,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",0,0,1
He was as sturdy as a house of cards.,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",1,1,1
Her hair had the volume of a brass band.,Her hair had a lot of volume.,Her hair lacked volume.,0,0,1
Her hair had the volume of a limp rag.,Her hair had a lot of volume.,Her hair lacked volume.,1,1,1
The room is as clean as a hospital,the room is spotless,the room is filthy,0,0,1
The room is as clean as a dumpster,the room is spotless,the room is filthy,1,1,1
The water is as clear as glass,the water is clean,the water is dirty,0,0,1
The water is as clear as coke,the water is clean,the water is dirty,1,1,1
The math test was as simple as boiling pasta,The math test was a cinch.,The math test was very difficult.,0,0,1
The math test was as simple as cooking a twelve-course Thanksgiving meal,The math test was a cinch.,The math test was very difficult.,1,1,1
