startphrase,ending1,ending2,answer
The man was as dangerous as a kitten.,The man was deadly.,The man was totally harmless.,2
The math test was as straightforward as assembling a PBJ sandwich,The math test was straightforward.,The math test was complicated.,1
He feels the love of the devil to everything good,He feels a lot of love,He feels little love,2
The diamond on the engagement ring is the size of an atom,The diamond on the engagement ring is huge.,The diamond on the engagement ring is barely visible.,2
The gymnast was a toad.,The gymnast was clumsy.,The gymnast was graceful.,1
The park has all the appeal of a free triple scoop ice cream cone on a hot day.,The park is disgusting.,The park is enticing.,2
Each link was the size of an ant,Each link was huge,Each link was tiny,2
The car has the speed of a rocket travel as fast as light,The car is fast,The car is slow,1
The sky is as clear as glass.,The sky is dark and cloudy.,The sky is bright and clear.,2
The pudding tastes like A chocolate ocean.,The pudding is not at all edible,The pudding is delicious,2
The woman is a toad.,The woman is ugly.,The woman is beautiful.,1
He is as mean as Hitler,He is mean,He is kind,1
He should be back before the sun implodes,He will be back quickly,He will be back slowly,2
Her garden was its own world with biomes and ecosystems.,Her garden was teeming with life.,Her garden was filled with dead plants.,1
The racetrack was as slippery as carpet.,The track was very slippery.,The track was not slippery.,2
He cooked like a bomb-diffuser.,He was precise in his way of cooking.,He was bad at cooking.,1
The girl's dress pattern was as uniform as a potluck,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,1
He should be back before more sunlight reaches us,He will be back quickly,He will be back slowly,1
He worked with the speed of a cheetah chasing down its prey,He worked quickly,He worked slowly,1
His mother gave him the respect of a king,His mothe respected him,His mother disrespected him,1
He had the moral values of a crusading paladin,He had no moral values.,He had a tremendous amount of moral values.,2
The marriage was a shiny ring,The marriage was getting old.,The marriage was new.,2
The marriage was a stale piece of bread,The marriage was getting old.,The marriage was new.,1
The sisters were oil and water.,The sisters got along together.,The sisters did not mix well with each other.,2
The blimp was as light as stone,The blimp was very light,The blimp was heavy,2
The food had the smell of a sweet perfume.,The food had a bad smell,The food had a good smell,2
The gambling at the casino had all the excitement of Watching paint dry,The gambling at the casino was boring,The gambling was exciting and entertaining,1
The camera is a spider,The camera has one lens,The camera has multiple lenses,2
I like this project as much as I like my enemy,The project is unlikeable,The project is likeable,1
His argument is teflon.,His argument is weak.,His argument is strong.,1
The girl is as reliable as an SUV,The girl can definitely be relied upon.,The girl isn't reliable at all.,1
The ice cream was as tasty as Cheesecake,The ice cream is bland,The ice cream is flavorful,2
The teacher was as successful in her occupation as a lame-duck President.,"The teacher was inventive, at the forefront of her occupation, and highly successful.","The teacher was unsuccessful, basically useless in getting anything accomplished.",2
My friend is as loyal as a pack of hyenas.,My friend is a backtabber.,My friend would take a secret to the grave.,1
The table had the age of a wooly mammoth,The table was old,The table was young,1
To defeat the dark lord would be to topple a mountain.,Defeating the dark lord would be very difficult.,Defeating the dark lord would be very easy.,1
This guy has the pleasantness of a tiger,This guy is nice,This guy is rude,2
The diamond on the engagement ring is the size of a truck,The diamond on the engagement ring is huge.,The diamond on the engagement ring is barely visible.,1
