startphrase,ending1,ending2,answer
The movie was as scary as a monster,The movie was scary,The movie was not scary.,1
Love is an angel's voice.,Love is trash.,Love is beautiful.,2
The kids have as much energy as Olympic athletes,The kids have tons of energy.,The kids don't have any energy at all.,1
Those two get along like a cold and vitamin-C.,They get along really poorly,They get along really well.,1
The opera's plot has the solidity of a block of swiss cheese.,The opera's plot has many holes.,The opera's plot is integral.,1
The pop song was fire,The pop song was upbeat and catchy.,The pop song was slow.,1
The golfer has the accuracy of a surgeon's blade.,The golfer is inaccurate.,The golfer is highly accurate.,2
The movie has as much mystery as Cleopatra's tomb,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,2
The line move as fast as a sloth in a lazy river.,The line moves quickly.,The line moves slowly.,2
Owning a cat is an extended visit by your favorite aunt,Owning a cat is not pleasant.,Owning a cat is quite sweet.,2
The opera's plot has the solidity of a brass ingot.,The opera's plot has many holes.,The opera's plot is integral.,2
Her presence at the wedding was as expected as a nudist at a Baptist tent revival,Her presence at the wedding was unexpected,Her presence at the wedding was very expected,1
The gun was as powerful as a titan,The gun was powerful.,The gun was weak.,1
The knife was as sharp as A door knob,The knife is dull,The knife is sharp,1
The bowl is a durable baby turtle,The bowl is very durable,The bowl is fragile,2
The washing machine has the cleaning ability of a fully rested man with OCD in a dirty room,The washing machine cleans very well,The washing machine leaves behind a lot of filth,1
The student was as ashamed as a dog that found a bone,he was proud,he was embarrassed,1
He was as sharp as a cat's claw,He was not very smart,He was very smart,2
She had the anger of a nap,She was an angry person.,She was an evenhanded person.,2
Her voice is as pleasant as a mad cat,Her voice is annoying,Her voice is soothing,1
The student was as ashamed as a stock broker in debt,he was proud,he was embarrassed,2
The storm was loud as a whisper,The storm was loud.,The storm was quiet.,1
Her skin was a cherry orchard,Her skin was red and splotchy,Her skin was pale and clean,1
He has all the anger of cotton candy.,He has a lot of anger.,He does not have a lot of anger.,2
The enemy has all the menace of a puppy,The enemy is menacing.,The enemy is nonthreatening.,2
The conference had a tsunami of submissions,There were few submissions,There were many submissions,2
"I saw him running, he's an elephant",He runs fast,He is a slow runner,2
Her skin was a a carribean beach,Her skin was red and splotchy,Her skin was pale and clean,2
The gun was as powerful as a butterfly,The gun was powerful.,The gun was weak.,2
The city was as big as a continent.,The city was very big.,The city was very small.,1
My coffee is as hot as the center of the earth.,The coffee is hot,The coffee is not hot,1
His mind was a Rubik's cube.,His thinking is rigid and mathematical.,His thinking is frenetic and open.,1
He was as sharp as a butter knife,He was not very smart,He was very smart,1
The contract was as long as a grocery list,The contract was very lengthy.,The contract was very short.,1
His movements were sludge.,His movements were graceful and flowed.,His movements were not graceful.,2
He has the personality of Mr. Rogers,He has a flat and boring personality.,He has a sweet and friendly personality.,2
He was as energized as a dead battery.,He was very energized.,He wasn't energized at all.,2
The pop song was a slug,The pop song was upbeat and catchy.,The pop song was slow.,2
